group,case,idx,delta,Tc,Ts,Trms,Cc,Cs,Crms
spatial,dr=1.00 mm,20,1,33.57639726,36.78599499,34.67814154,2.54998242,1.51240525,2.40237943
spatial,dr=0.50 mm,40,0.5,33.57650786,36.78620022,34.67827872,2.54999016,1.51078700,2.40216585
spatial,dr=0.25 mm,80,0.25,33.57653546,36.78625130,34.67831294,2.54999181,1.51039019,2.40211298
temporal_T,dtT_s,1,1,33.57653546,36.78625130,34.67831294,nan,nan,nan
temporal_T,dtT_s,2,0.5,33.57593536,36.78589734,34.67778881,nan,nan,nan
temporal_T,dtT_s,4,0.25,33.57563542,36.78572036,34.67752673,nan,nan,nan
temporal_T,dtT_s,8,0.125,33.57548548,36.78563187,34.67739570,nan,nan,nan
temporal_C,dtint_s,1,1,nan,nan,nan,2.54999161,1.51045455,2.40211398
temporal_C,dtint_s,2,0.5,nan,nan,nan,2.54999175,1.51041157,2.40211329
temporal_C,dtint_s,4,0.25,nan,nan,nan,2.54999181,1.51039019,2.40211298
temporal_C,dtint_s,8,0.125,nan,nan,nan,2.54999185,1.51038273,2.40211381
