C,rho_rel,cp_rel,k_rel,D_rel_T28,D_rel_T50
2.55,1.0,1.0,1.0,1.0,2.387758
2.523866,0.996574,0.998326,0.998356,0.998174,2.383399
2.497732,0.993148,0.996628,0.996688,0.996314,2.378957
2.471598,0.989722,0.994904,0.994995,0.994418,2.374429
2.445464,0.986296,0.993153,0.993275,0.992485,2.369814
2.419331,0.98287,0.991376,0.99153,0.990514,2.365108
2.393197,0.979444,0.989572,0.989758,0.988504,2.360309
2.367063,0.976018,0.987739,0.987958,0.986454,2.355414
2.340929,0.972592,0.985878,0.98613,0.984363,2.35042
2.314795,0.969166,0.983988,0.984273,0.982229,2.345325
2.288661,0.96574,0.982067,0.982387,0.980051,2.340124
2.262527,0.962314,0.980116,0.980471,0.977827,2.334815
2.236393,0.958888,0.978133,0.978523,0.975557,2.329395
2.210259,0.955462,0.976118,0.976544,0.973239,2.32386
2.184125,0.952036,0.97407,0.974532,0.970871,2.318205
2.157992,0.94861,0.971988,0.972487,0.968452,2.312428
2.131858,0.945184,0.969871,0.970408,0.965979,2.306525
2.105724,0.941758,0.967719,0.968294,0.963452,2.30049
2.07959,0.938332,0.96553,0.966144,0.960868,2.29432
2.053456,0.934906,0.963303,0.963958,0.958225,2.288011
2.027322,0.93148,0.961039,0.961733,0.955522,2.281556
2.001188,0.928054,0.958734,0.95947,0.952757,2.274952
1.975054,0.924628,0.956389,0.957167,0.949926,2.268193
1.94892,0.921202,0.954003,0.954823,0.947028,2.261274
1.922786,0.917776,0.951574,0.952438,0.944061,2.254189
1.896653,0.91435,0.949101,0.950009,0.941021,2.246931
1.870519,0.910924,0.946583,0.947536,0.937907,2.239495
1.844385,0.907498,0.944019,0.945017,0.934715,2.231874
1.818251,0.904072,0.941408,0.942452,0.931443,2.224061
1.792117,0.900646,0.938747,0.939839,0.928088,2.216049
1.765983,0.89722,0.936036,0.937177,0.924645,2.20783
1.739849,0.893794,0.933273,0.934463,0.921113,2.199395
1.713715,0.890368,0.930458,0.931698,0.917487,2.190737
1.687581,0.886942,0.927587,0.928878,0.913764,2.181847
1.661447,0.883516,0.92466,0.926003,0.909939,2.172715
1.635314,0.88009,0.921675,0.923072,0.906009,2.16333
1.60918,0.876664,0.91863,0.920081,0.901969,2.153684
1.583046,0.873238,0.915524,0.91703,0.897815,2.143764
1.556912,0.869812,0.912354,0.913917,0.893541,2.13356
1.530778,0.866386,0.909119,0.910739,0.889143,2.123058
1.504644,0.86296,0.905816,0.907495,0.884614,2.112245
1.47851,0.859534,0.902443,0.904183,0.87995,2.101108
1.452376,0.856108,0.898999,0.9008,0.875144,2.089633
1.426242,0.852682,0.89548,0.897344,0.87019,2.077803
1.400108,0.849256,0.891885,0.893813,0.86508,2.065602
1.373975,0.84583,0.888211,0.890204,0.859808,2.053013
1.347841,0.842404,0.884455,0.886515,0.854365,2.040017
1.321707,0.838978,0.880614,0.882742,0.848743,2.026594
1.295573,0.835552,0.876686,0.878884,0.842934,2.012724
1.269439,0.832126,0.872667,0.874937,0.836928,1.998383
1.243305,0.8287,0.868555,0.870898,0.830715,1.983548
1.217171,0.825274,0.864345,0.866764,0.824285,1.968193
1.191037,0.821848,0.860036,0.862531,0.817625,1.952291
1.164903,0.818422,0.855622,0.858196,0.810724,1.935813
1.138769,0.814996,0.8511,0.853755,0.803569,1.918727
1.112636,0.81157,0.846467,0.849204,0.796145,1.901001
1.086502,0.808144,0.841717,0.84454,0.788437,1.882597
1.060368,0.804718,0.836848,0.839757,0.78043,1.863478
1.034234,0.801292,0.831852,0.83485,0.772105,1.843601
1.0081,0.797866,0.826727,0.829817,0.763445,1.822923
