case,t,Tc_num,Tc_ana,Ts_num,Ts_ana,Cs_num,Cs_ana
E2a_dr1.00mm,100,28.01479897,28.01130387,34.08486395,34.10094075,2.29253009,2.25434699
E2a_dr1.00mm,300,29.34154984,29.33346683,37.62415300,37.62854358,2.07938854,2.06652248
E2a_dr1.00mm,600,33.37058581,33.37343381,40.64514775,40.64605718,1.90813940,1.90218448
E2a_dr1.00mm,900,37.04012331,37.04536149,42.77537472,42.77602072,1.79116931,1.78763430
E2a_dr1.00mm,1200,39.94651161,39.95179325,44.40295080,44.40383768,1.70028548,1.69800057
E2a_dr1.00mm,1500,42.20632590,42.21117053,45.66188001,45.66294156,1.62534856,1.62381963
E2a_dr1.00mm,1800,43.95876726,43.96307460,46.63741837,46.63854250,1.56134601,1.56031671
E2a_dr0.50mm,100,28.01358855,28.01130387,34.09069221,34.10094075,2.26170592,2.25434699
E2a_dr0.50mm,300,29.33901500,29.33346683,37.62426302,37.62854358,2.06943936,2.06652248
E2a_dr0.50mm,600,33.37124669,33.37343381,40.64384559,40.64605718,1.90362799,1.90218448
E2a_dr0.50mm,900,37.04110284,37.04536149,42.77402300,42.77602072,1.78851021,1.78763430
E2a_dr0.50mm,1200,39.94724173,39.95179325,44.40178814,44.40383768,1.69857545,1.69800057
E2a_dr0.50mm,1500,42.20680334,42.21117053,45.66091497,45.66294156,1.62420999,1.62381963
E2a_dr0.50mm,1800,43.95905888,43.96307460,46.63662463,46.63854250,1.56058404,1.56031671
E2a_dr0.25mm,100,28.01328193,28.01130387,34.09213258,34.10094075,2.25615115,2.25434699
E2a_dr0.25mm,300,29.33837910,29.33346683,37.62428909,37.62854358,2.06727899,2.06652248
E2a_dr0.25mm,600,33.37141318,33.37343381,40.64351977,40.64605718,1.90257049,1.90218448
E2a_dr0.25mm,900,37.04134851,37.04536149,42.77368509,42.77602072,1.78787497,1.78763430
E2a_dr0.25mm,1200,39.94742480,39.95179325,44.40149758,44.40383768,1.69816341,1.69800057
E2a_dr0.25mm,1500,42.20692313,42.21117053,45.66067382,45.66294156,1.62393440,1.62381963
E2a_dr0.25mm,1800,43.95913215,43.96307460,46.63642629,46.63854250,1.56039921,1.56031671
E2b_step,100,28.00000016,28.00000002,28.09829602,28.09755054,nan,nan
E2b_step,300,28.02599165,28.02513432,28.69588037,28.67314464,nan,nan
E2b_step,600,28.39171363,28.38910309,30.01335869,29.99837514,nan,nan
E2b_step,900,29.22165386,29.21799831,31.57258103,31.55964828,nan,nan
E2b_step,1200,30.41298609,30.40896767,33.24417264,33.22876291,nan,nan
E2b_step,1500,31.84610368,31.84187684,34.97313997,34.96650793,nan,nan
E2b_step,1800,33.42002113,33.41616136,36.60847564,36.59622438,nan,nan
