output,parameter,y_minus,y_base,y_plus,delta_neg,delta_pos,S_norm
T_center,T0,33.30096066,33.57537304,33.84978541,-2.74412376e-01,2.74412376e-01,0.22884471
T_center,h,32.98459121,33.57537304,34.04584665,-5.90781824e-01,4.70473609e-01,0.079020375
T_center,D0,33.57537304,33.57537304,33.57537304,0.00000000e+00,0.00000000e+00,0
T_center,km,33.57537304,33.57537304,33.57537304,0.00000000e+00,0.00000000e+00,0
T_center,C0,33.57537304,33.57537304,33.57537304,0.00000000e+00,0.00000000e+00,0
T_surface,T0,36.63277189,36.78556550,36.93835912,-1.52793620e-01,1.52793620e-01,0.11630163
T_surface,h,35.97587883,36.78556550,37.40655617,-8.09686678e-01,6.20990669e-01,0.097230893
T_surface,D0,36.78556550,36.78556550,36.78556550,0.00000000e+00,0.00000000e+00,0
T_surface,km,36.78556550,36.78556550,36.78556550,0.00000000e+00,0.00000000e+00,0
T_surface,C0,36.78556550,36.78556550,36.78556550,0.00000000e+00,0.00000000e+00,0
C_center,C0,2.42249370,2.54999185,2.67748973,-1.27498152e-01,1.27497872e-01,0.9999876
C_center,D0,2.54999947,2.54999185,2.54994889,7.61773382e-06,-4.29698279e-05,-4.9595807e-05
C_center,km,2.54999328,2.54999185,2.54999052,1.42584951e-06,-1.33979248e-06,-2.7114224e-06
C_center,h,2.54999185,2.54999185,2.54999185,0.00000000e+00,0.00000000e+00,0
C_center,T0,2.54999185,2.54999185,2.54999185,0.00000000e+00,0.00000000e+00,0
C_surface,C0,1.42749508,1.51038116,1.59319584,-8.28860810e-02,8.28146767e-02,1.0970791
C_surface,km,1.66379009,1.51038116,1.37607846,1.53408923e-01,-1.34302699e-01,-0.47622353
C_surface,D0,1.43539676,1.51038116,1.56928256,-7.49844020e-02,5.89013939e-02,0.22160929
C_surface,h,1.51038116,1.51038116,1.51038116,0.00000000e+00,0.00000000e+00,0
C_surface,T0,1.51038116,1.51038116,1.51038116,0.00000000e+00,0.00000000e+00,0
