method,angle,d_hat_um,sigma_stat_um,bias_corrected_um,note
E1 极值回归,10,8.015,0.072,yes,亚像素极值+robust回归+多假设周期竞争
E1 极值回归,15,7.801,0.103,yes,同上
E2 谱域FFT,10,7.879,0.504,yes,半高宽定sigma; 零填充x8
E2 谱域FFT,15,7.817,0.505,yes,同上
E3 全谱拟合,10,8.043,0.009,yes,单角度lsqnonlin; 双起点防盆地
E3 全谱拟合,15,8.012,0.009,yes,同上
E3 全谱联合,10+15,8.036,0.575,yes,双角度共享d
逆方差融合(统计),10,8.042,0.009,yes,X2_L1=0.24 PASS
逆方差融合(统计),15,8.011,0.009,yes,X2_L1=4.25 PASS
最终融合,10+15,8.027,0.006,yes,统计sigma下X2_L2=6.08 FAIL->系统差入经验sigma
最终融合(经验σ),10+15,8.026,0.050,yes,分块bootstrap N=200; X2_L2=0.20 PASS
