sigma10,R10,bg10,sigma15,R15,bg15
1100.19,8.464987156,6.98556462066371,1100.19,9.963197886,7.72575735205918
1100.672,8.404430546,7.00877277057315,1100.672,9.923519952,7.74816877592974
1101.155,8.354623717,7.0319766255052,1101.155,9.891998353,7.77057873536367
1101.637,8.279973185,7.0550802022441,1101.637,9.841858461,7.79289452144072
1102.119,8.242966414,7.0781316947847,1102.119,9.797259433,7.81516266683747
1102.601,8.183221648,7.10113120167355,1102.601,9.774971368,7.83738325711371
1103.083,8.129539608,7.12407882131662,1103.083,9.735068769,7.85955637771211
1103.565,8.078120908,7.14697465197938,1103.565,9.72376312,7.88168211395836
1104.047,8.034073993,7.16981879178701,1104.047,9.676014123,7.90376055106127
1104.529,7.990089712,7.19261133872448,1104.529,9.64202455,7.92579177411291
1105.011,7.932956524,7.21535239063673,1105.011,9.602694482,7.94777586808867
1105.494,7.894353647,7.23808906584135,1105.494,9.537419924,7.96975838155532
1105.976,7.861508794,7.2607273143488,1105.976,9.498771643,7.99164837450127
1106.458,7.809212339,7.28331436072896,1106.458,9.451173596,8.01349149277427
1106.94,7.782777565,7.30585030226771,1106.94,9.413493559,8.03528782088405
1107.422,7.71658984,7.32833523611157,1107.422,9.339685425,8.05703744322421
1107.904,7.676217432,7.35076925926788,1107.904,9.304042794,8.07874044407245
1108.386,7.628715612,7.37315246860492,1108.386,9.239827799,8.10039690759056
1108.868,7.585179924,7.39548496085203,1108.868,9.179428256,8.1220069178246
1109.35,7.517995887,7.41776683259976,1109.35,9.165029889,8.14357055870503
1109.833,7.491318694,7.44004425097532,1109.833,9.095768107,8.16513250780724
1110.315,7.443302387,7.46222506641974,1110.315,9.058235782,8.18660356554226
1110.797,7.396977985,7.48435555050457,1110.797,9.010510134,8.20802850519561
1111.279,7.367259737,7.50643579926635,1111.279,8.951804808,8.22940741023612
1111.761,7.287472426,7.52846590860354,1111.761,8.919375374,8.25074036401749
1112.243,7.269994418,7.55044597427665,1112.243,8.848782227,8.27202744977855
1112.725,7.256386978,7.57237609190838,1112.725,8.771481528,8.29326875064323
1113.207,7.186031637,7.59425635698378,1113.207,8.721983551,8.31446434962076
1113.689,7.145105482,7.61608686485035,1113.689,8.682513105,8.33561432960573
1114.172,7.140643263,7.6379128476376,1114.172,8.612298302,8.35676251125394
1114.654,7.099517092,7.65964402384239,1114.654,8.549713271,8.3778214072636
1115.136,7.045474752,7.6813257282539,1115.136,8.512132156,8.39883493244909
1115.618,7.004472521,7.70295805567064,1115.618,8.452288761,8.41980316924743
1116.1,6.970316209,7.72454110075426,1116.1,8.412801794,8.44072619998158
1116.582,6.940563169,7.74607495802974,1116.582,8.363507311,8.46160410686059
1117.064,6.893561613,7.76755972188547,1117.064,8.315082174,8.4824369719796
1117.546,6.8630252,7.78899548657344,1117.546,8.270881451,8.5032248773201
1118.029,6.839257711,7.81042666651602,1118.029,8.227463154,8.52401089348287
1118.511,6.825028937,7.83176461390926,1118.511,8.180040623,8.54470903190324
1118.993,6.777353652,7.85305384426811,1118.993,8.135104929,8.56536245597754
1119.475,6.760790808,7.87429445129999,1119.475,8.091336314,8.58597124723325
1119.957,6.718206469,7.89548652857657,1119.957,8.06246605,8.60653548708466
1120.439,6.705619336,7.91663016953393,1120.439,7.984405858,8.62705525683299
1120.921,6.694352395,7.93772546747269,1120.921,7.937809345,8.64753063766656
1121.403,6.662562776,7.95877251555818,1121.403,7.896072357,8.66796171066085
1121.885,6.642058717,7.97977140682053,1121.885,7.848419763,8.6883485567786
1122.368,6.618331838,8.00076565070364,1122.368,7.830762566,8.70873341580833
1122.85,6.612205524,8.02166840744114,1122.85,7.799200633,8.72903195927304
1123.332,6.627706538,8.04252328582822,1123.332,7.775091336,8.74928651824142
1123.814,6.605882984,8.06333037835538,1123.814,7.748613353,8.76949717322623
1124.296,6.585677417,8.08408977737864,1124.296,7.733121141,8.78966400462806
1124.778,6.577701044,8.10480157511964,1124.778,7.69879753,8.80978709273542
1125.26,6.597946521,8.12546586366585,1125.26,7.683894872,8.82986651772491
1125.742,6.585949698,8.14608273497059,1125.742,7.654132275,8.84990235966129
1126.225,6.58984725,8.16669490712871,1126.225,7.650331296,8.86993613121307
1126.707,6.582100956,8.18721712137489,1126.707,7.616926476,8.88988495678388
1127.189,6.567343067,8.20769219362636,1127.189,7.584605694,8.90979043899124
1127.671,6.566128768,8.22812021530122,1127.671,7.58017435,8.92965265745343
1128.153,6.598956218,8.2485012776842,1128.153,7.570458355,8.94947169167748
1128.635,6.564806073,8.26883547192674,1128.635,7.526326283,8.96924762105922
1129.117,6.565916192,8.28912288904717,1129.117,7.511744284,8.98898052488343
1129.599,6.555725896,8.30936361993081,1129.599,7.495030425,9.00867048232395
1130.082,6.560852663,8.32959960350367,1130.082,7.466993316,9.02835828953586
1130.564,6.544441993,8.34974713764943,1130.564,7.450348415,9.04796250259662
1131.046,6.542357128,8.3698482576054,1131.046,7.428397473,9.06752400629399
1131.528,6.549691563,8.38990305372604,1131.528,7.409649677,9.08704287935887
1132.01,6.56090475,8.40991161623347,1132.01,7.374544185,9.10651920041172
1132.492,6.561935297,8.42987403521766,1132.492,7.39365616,9.12595304796276
1132.974,6.591764262,8.44979040063651,1132.974,7.36868329,9.14534450041196
1133.456,6.57010285,8.46966080231605,1133.456,7.354648237,9.16469363604927
1133.938,6.599059441,8.48948532995052,1133.938,7.341307506,9.18400053305466
1134.421,6.625093579,8.50930506030859,1134.421,7.35328867,9.20330519405942
1134.903,6.635762125,8.52903801369908,1134.903,7.319978579,9.22252776067417
1135.385,6.652405289,8.54872536152307,1135.385,7.336720551,9.24170832269959
1135.867,6.674269167,8.5683671929488,1135.867,7.308906865,9.26084695787663
1136.349,6.711933019,8.58796359701342,1136.349,7.307454581,9.27994374383686
1136.831,6.729176012,8.6075146626231,1136.831,7.323926469,9.29899875810248
1137.313,6.772789139,8.62702047855321,1137.313,7.30138544,9.31801207808656
1137.795,6.799275087,8.6464811334484,1137.795,7.294180622,9.33698378109302
1138.277,6.812358525,8.66589671582278,1138.277,7.318088595,9.35591394431682
1138.76,6.856991696,8.68530745532356,1138.76,7.321940433,9.37484178997248
1139.242,6.873053909,8.70463306462374,1139.242,7.318646565,9.39368901899788
1139.724,6.909118309,8.72391386634613,1139.724,7.322557095,9.41249493933202
1140.206,6.962266093,8.74314994848367,1140.206,7.337562199,9.43125962773478
1140.688,6.968060786,8.76234139889944,1140.688,7.333853616,9.4499831608576
1141.17,7.019229909,8.78148830532675,1141.17,7.351322378,9.46866561524358
1141.652,7.04939018,8.80059075536929,1141.652,7.363590073,9.48730706732758
1142.134,7.083214921,8.81964883650129,1142.134,7.37499989,9.50590759343638
1142.616,7.131281022,8.8386626360676,1142.616,7.396375514,9.52446726978872
1143.099,7.187862829,8.85767155143185,1143.099,7.418587926,9.54302455112408
1143.581,7.241364737,8.87659695796625,1143.581,7.426903446,9.56150267183222
1144.063,7.258419355,8.89547834437508,1144.063,7.480004789,9.57994017095053
1144.545,7.297580825,8.91431579748684,1144.545,7.49348295,9.59833712426653
1145.027,7.354415042,8.93310940400142,1145.027,7.525498892,9.61669360746035
1145.509,7.404831057,8.9518592504901,1145.509,7.553252108,9.63500969610472
1145.991,7.456720898,8.97056542339576,1145.991,7.573053849,9.65328546566512
1146.473,7.492212639,8.98922800903302,1146.473,7.621368938,9.67152099149989
1146.956,7.538667831,9.00788567723494,1146.956,7.654296615,9.68975405686152
1147.438,7.566349939,9.02646125678342,1147.438,7.679941936,9.70790923778882
1147.92,7.619137241,9.04499350741706,1147.92,7.715976327,9.72602440057922
1148.402,7.678460028,9.0634825149384,1148.402,7.730365095,9.74409962016334
1148.884,7.732503148,9.08192836502236,1148.884,7.769406535,9.76213497136516
1149.366,7.770054043,9.10033114321635,1149.366,7.82383688,9.78013052890217
1149.848,7.830270797,9.11869093494046,1149.848,7.84079151,9.79808636738545
1150.33,7.880599256,9.13700782548753,1150.33,7.877009601,9.8160025613198
1150.812,7.928817815,9.15528190002333,1150.812,7.92811742,9.83387918510385
1151.295,7.98497068,9.17355102359113,1151.295,7.968289233,9.85175327851528
1151.777,8.028724731,9.19173963270482,1151.777,7.996948005,9.86955090305968
1152.259,8.083224766,9.20988568071909,1152.259,8.02776985,9.8873091801672
1152.741,8.140995459,9.22798925229239,1152.741,8.066062801,9.90502818381254
1153.223,8.195763753,9.24605043195673,1153.223,8.095689611,9.9227079878648
1153.705,8.225219284,9.26406930411786,1153.705,8.15705978,9.94034866608753
1154.187,8.297151629,9.28204595305535,1154.187,8.193505271,9.95795029213882
1154.669,8.364119677,9.29998046292275,1154.669,8.263761463,9.97551293957149
1155.152,8.408411291,9.31790999536538,1155.152,8.272900623,9.99307299775391
1155.634,8.480490886,9.33576039205975,1155.634,8.340099702,10.010557827699
1156.116,8.539910845,9.3535689015634,1156.116,8.371002579,10.0280038992048
1156.598,8.593908872,9.37133560752677,1156.598,8.425567999,10.0454112854035
1157.08,8.650695838,9.38906059347496,1157.08,8.468620471,10.0627800593226
1157.562,8.729123136,9.40674394280777,1157.562,8.528773207,10.080110293885
1158.044,8.788723422,9.42438573879993,1158.044,8.553596915,10.0974020619089
1158.526,8.862791781,9.44198606460116,1158.526,8.627791513,10.1146554361081
1159.009,8.925172482,9.45958138960531,1159.009,8.681562843,10.1319061651849
1159.491,8.978627491,9.47709893836715,1159.491,8.7313552,10.1490828901796
1159.973,9.061266225,9.49457526581024,1159.973,8.765162113,10.166221439015
1160.455,9.103705483,9.51201045458542,1160.455,8.84087082,10.1833218839879
1160.937,9.161397041,9.5294045872192,1160.937,8.865455579,10.2003842972909
1161.419,9.23217171,9.54675774611387,1161.419,8.932263157,10.217408751013
1161.901,9.297824497,9.56407001354767,1161.901,9.011741377,10.2343953171393
