sigma,F_meas,F_fit,residual
1100.19,1.47942253533629,0.212572721981704,1.26684981335459
1100.672,1.39565777542685,0.216129615998352,1.1795281594285
1101.155,1.3226470914948,0.219656651432086,1.10299044006271
1101.637,1.2248929827559,0.223138684264475,1.00175429849143
1102.119,1.1648347192153,0.226582522938205,0.938252196277099
1102.601,1.08209044632645,0.229987640705877,0.852102805620571
1103.083,1.00546078668338,0.233353516757854,0.772107269925529
1103.565,0.931146256020618,0.236679636302131,0.694466619718487
1104.047,0.864255201212989,0.23996549064328,0.62428971056971
1104.529,0.797478373275519,0.243210577260444,0.554267796015074
1105.011,0.717604133363269,0.246414399884415,0.471189733478854
1105.494,0.656264581158649,0.249582985142575,0.406681596016075
1105.976,0.600781479651197,0.252702728230849,0.348078751420348
1106.458,0.525897978271043,0.255779755801318,0.270118222469726
1106.94,0.476927262732294,0.25881359735625,0.218113665376044
1107.422,0.388254603888435,0.261803789020398,0.126450814868037
1107.904,0.325448172732116,0.264749873612125,0.0606982991199909
1108.386,0.255563143395078,0.26765140071352,-0.0120882573184415
1108.868,0.189694963147975,0.27050792673946,-0.0808129635914853
1109.35,0.10022905440024,0.273319015005642,-0.173089960605402
1109.833,0.0512744430246759,0.276089924794601,-0.224815481769925
1110.315,-0.018922679419739,0.278808758953223,-0.297731438372962
1110.797,-0.0873775655045739,0.281480886513567,-0.368858452018141
1111.279,-0.139176062266352,0.284105899068428,-0.42328196133478
1111.761,-0.240993482603543,0.286683395435576,-0.52767687803912
1112.243,-0.280451556276649,0.289212981719287,-0.569664537995936
1112.725,-0.315989113908383,0.291694271370741,-0.607683385279125
1113.207,-0.408224719983784,0.294126885247302,-0.702351605231086
1113.689,-0.470981382850347,0.29651045167065,-0.767491834520997
1114.172,-0.497269584637597,0.298849397516749,-0.796118982154347
1114.654,-0.560126931842389,0.30113368052096,-0.86126061236335
1115.136,-0.635850976253898,0.303367845671144,-0.939218821925042
1115.618,-0.698485534670636,0.305551551720659,-1.00403708639129
1116.1,-0.75422489175426,0.307684465160652,-1.06190935691491
1116.582,-0.805511789029736,0.309766260271208,-1.11527804930094
1117.064,-0.873998108885467,0.311796619171292,-1.18579472805676
1117.546,-0.925970286573437,0.313775231867496,-1.23974551844093
1118.029,-0.971168955516022,0.315705739013848,-1.28687469452987
1118.511,-1.00673567690926,0.317579852214869,-1.32431552912413
1118.993,-1.07570019226811,0.319401336441755,-1.39510152870987
1119.475,-1.11350364329999,0.321169913731568,-1.43467355703156
1119.957,-1.17728005957657,0.322885314234537,-1.50016537381111
1120.439,-1.21101083353393,0.324547276255428,-1.53555810978936
1120.921,-1.24337307247269,0.326155546293678,-1.56952861876637
1121.403,-1.29620973955818,0.327709879082279,-1.62391961864046
1121.885,-1.33771268982053,0.329210037625374,-1.6669227274459
1122.368,-1.38243381270364,0.330658736021607,-1.71309254872525
1122.85,-1.40946288344114,0.332049754801647,-1.74151263824279
1123.332,-1.41481674782822,0.333385937901576,-1.7482026857298
1123.814,-1.45744739435538,0.334667081778311,-1.79211447613369
1124.296,-1.49841236037864,0.33589299132891,-1.83430535170755
1124.778,-1.52710053111964,0.337063479920498,-1.86416401104014
1125.26,-1.52751934266585,0.338178369418875,-1.86569771208473
1125.742,-1.56013303697059,0.339237490215844,-1.89937052718644
1126.225,-1.57684765712871,0.340242704318366,-1.91709036144708
1126.707,-1.60511616537489,0.341189696614917,-1.94630586198981
1127.189,-1.64034912662636,0.342080462505429,-1.98242958913178
1127.671,-1.66199144730122,0.342914866750561,-2.00490631405179
1128.153,-1.6495450596842,0.343692782753909,-1.99323784243811
1128.635,-1.70402939892674,0.344414092581411,-2.04844349150815
1129.117,-1.72320669704717,0.345078686979441,-2.06828538402661
1129.599,-1.75363772393081,0.345686465391557,-2.09932418932237
1130.082,-1.76874694050367,0.346238419644282,-2.11498536014795
1130.564,-1.80530514464943,0.346732180960929,-2.15203732561036
1131.046,-1.8274911296054,0.34716887680775,-2.17466000641315
1131.528,-1.84021149072604,0.34754844157604,-2.18775993230208
1132.01,-1.84900686623347,0.347870818418021,-2.1968776846515
1132.492,-1.86793873821766,0.348135959255553,-2.21607469747321
1132.974,-1.85802613863651,0.348343824787516,-2.20636996342403
1133.456,-1.89955795231605,0.348494384495826,-2.24805233681187
1133.938,-1.89042588895052,0.348587616650124,-2.23901350560065
1134.421,-1.88421148130859,0.348623523165486,-2.23283500447408
1134.903,-1.89327588869908,0.348601951216387,-2.24187783991547
1135.385,-1.89632007252307,0.348523039293886,-2.24484311181696
1135.867,-1.8940980259488,0.348386800856591,-2.24248482680539
1136.349,-1.87603057801342,0.348193258154002,-2.22422383616743
1136.831,-1.8783386506231,0.347942442223102,-2.22628109284621
1137.313,-1.85423133955321,0.347634392883596,-2.20186573243681
1137.795,-1.8472060464484,0.347269158731806,-2.19447520518021
1138.277,-1.85353819082278,0.346846797133219,-2.200384987956
1138.76,-1.82831575932356,0.346366320295712,-2.17468207961927
1139.242,-1.83157915562374,0.345829792786079,-2.17740894840982
1139.724,-1.81479555734613,0.34523636262896,-2.16003191997509
1140.206,-1.78088385548367,0.344586122183195,-2.12546997766686
1140.688,-1.79428061289944,0.343879172519353,-2.1381597854188
1141.17,-1.76225839632675,0.343115623404239,-2.10537401973099
1141.652,-1.75120057536929,0.342295593284058,-2.09349616865335
1142.134,-1.73643391550129,0.34141920926625,-2.07785312476754
1142.616,-1.7073816140676,0.340486607100003,-2.0478682211676
1143.099,-1.66980872243185,0.339495821776658,-2.00930454420851
