t_s,C_center,C_surface
60,2.550000,2.329203
120,2.550000,2.243397
180,2.550000,2.180790
240,2.550000,2.130036
300,2.550000,2.086961
360,2.550000,2.049380
420,2.550000,2.015889
480,2.550000,1.985594
540,2.550000,1.957957
600,2.550000,1.932606
660,2.550000,1.909226
720,2.550000,1.887526
780,2.550000,1.867267
840,2.550000,1.848279
900,2.550000,1.830377
960,2.550000,1.813525
1020,2.550000,1.797594
1080,2.550000,1.782569
1140,2.550000,1.768380
1200,2.550000,1.754897
1260,2.549999,1.742022
1320,2.549999,1.729777
1380,2.549998,1.718165
1440,2.549996,1.707022
1500,2.549993,1.696271
1560,2.549988,1.685938
1620,2.549980,1.676011
1680,2.549969,1.666442
1740,2.549954,1.657323
1800,2.549932,1.648609
1860,2.549902,1.640231
1920,2.549861,1.632094
1980,2.549807,1.624164
2040,2.549738,1.616507
2100,2.549649,1.609071
2160,2.549538,1.601830
2220,2.549399,1.594849
2280,2.549228,1.588077
2340,2.549021,1.581496
2400,2.548772,1.575114
2460,2.548476,1.568916
2520,2.548126,1.562896
2580,2.547717,1.556958
2640,2.547243,1.551171
2700,2.546697,1.545555
2760,2.546073,1.540007
2820,2.545364,1.534519
2880,2.544564,1.529166
2940,2.543665,1.523907
3000,2.542663,1.518674
3060,2.541550,1.513538
3120,2.540321,1.508540
3180,2.538970,1.503698
3240,2.537491,1.498910
3300,2.535881,1.494194
3360,2.534133,1.489503
3420,2.532244,1.484846
3480,2.530208,1.480209
3540,2.528024,1.475583
3600,2.525687,1.471058
3660,2.523195,1.466622
3720,2.520546,1.462215
3780,2.517739,1.457882
3840,2.514771,1.453579
3900,2.511642,1.449282
3960,2.508352,1.445015
4020,2.504901,1.440745
4080,2.501288,1.436449
4140,2.497515,1.432210
4200,2.493583,1.428015
4260,2.489494,1.423836
4320,2.485251,1.419747
4380,2.480854,1.415653
4440,2.476308,1.411495
4500,2.471614,1.407368
4560,2.466776,1.403289
4620,2.461797,1.399254
4680,2.456682,1.395266
4740,2.451433,1.391296
4800,2.446054,1.387331
4860,2.440550,1.383333
4920,2.434924,1.379367
4980,2.429179,1.375392
5040,2.423321,1.371347
5100,2.417353,1.367312
5160,2.411279,1.363353
5220,2.405106,1.359434
5280,2.398837,1.355456
5340,2.392477,1.351503
5400,2.386030,1.347543
5460,2.379501,1.343618
5520,2.372894,1.339728
5580,2.366213,1.335790
5640,2.359462,1.331856
5700,2.352646,1.327941
5760,2.345767,1.324045
5820,2.338831,1.320090
5880,2.331841,1.316137
5940,2.324800,1.312256
6000,2.317713,1.308457
6060,2.310584,1.304623
