t_s,R_m,M_intCxi,U_intRhoCpT,C_R,T_R,Cinf,Tinf
0.000,0.02000000,1.2750000000e+00,1.8808861972e+04,2.55000000,28.000000,0.01963000,28.000000
60.000,0.01995767,1.2696693653e+00,1.8810527412e+04,2.08605850,28.352393,0.02002000,28.528000
120.000,0.01991533,1.2648990715e+00,1.8821439664e+04,1.92931876,28.641819,0.02053000,29.192000
180.000,0.01987300,1.2604284987e+00,1.8840901678e+04,1.82307020,28.928487,0.02100000,29.684000
240.000,0.01983067,1.2561737680e+00,1.8864623358e+04,1.74163481,29.196396,0.02151000,30.037000
300.000,0.01978833,1.2520883910e+00,1.8896784690e+04,1.67581800,29.521436,0.02191000,30.834000
360.000,0.01974600,1.2481411247e+00,1.8937695173e+04,1.62081769,29.842371,0.02233000,31.293000
420.000,0.01970367,1.2443104409e+00,1.8983645911e+04,1.57360642,30.166411,0.02278000,31.820000
480.000,0.01966133,1.2405802321e+00,1.9032413093e+04,1.53229672,30.466215,0.02325000,32.121000
540.000,0.01961900,1.2369381906e+00,1.9085374654e+04,1.49581110,30.796291,0.02377000,32.730000
600.000,0.01957667,1.2333737367e+00,1.9144211828e+04,1.46338185,31.132019,0.02428000,33.202000
660.000,0.01953433,1.2298780133e+00,1.9209558100e+04,1.43436974,31.499815,0.02465000,33.879000
720.000,0.01949200,1.2264433926e+00,1.9279695150e+04,1.40816887,31.850091,0.02506000,34.268000
780.000,0.01944967,1.2230640877e+00,1.9352961542e+04,1.38431540,32.209941,0.02552000,34.806000
840.000,0.01940733,1.2197350537e+00,1.9428476073e+04,1.36248296,32.551646,0.02612000,35.142000
900.000,0.01936500,1.2164520586e+00,1.9504473060e+04,1.34231975,32.887588,0.02660000,35.524000
960.000,0.01932267,1.2132108290e+00,1.9583987209e+04,1.32379436,33.251774,0.02687000,36.091000
1020.000,0.01928033,1.2100076307e+00,1.9665021480e+04,1.30664192,33.589359,0.02732000,36.354000
1080.000,0.01923800,1.2068398562e+00,1.9749753724e+04,1.29087821,33.976152,0.02793000,37.067000
1140.000,0.01919567,1.2037039584e+00,1.9838503600e+04,1.27634364,34.346373,0.02826000,37.419000
1200.000,0.01915333,1.2005975512e+00,1.9928224041e+04,1.26279982,34.717631,0.02891000,37.882000
1260.000,0.01911100,1.1975183376e+00,2.0017619702e+04,1.25006431,35.063247,0.02921000,38.134000
1320.000,0.01906867,1.1944641839e+00,2.0109198885e+04,1.23822543,35.450208,0.02961000,38.767000
1380.000,0.01902633,1.1914332123e+00,2.0203645357e+04,1.22728256,35.826260,0.03029000,39.125000
1440.000,0.01898400,1.1884235102e+00,2.0297269532e+04,1.21691626,36.186859,0.03051000,39.458000
1500.000,0.01894167,1.1854335959e+00,2.0387563899e+04,1.20699761,36.511099,0.03098000,39.595000
