t_s,T_env_C,C_env_kgkg
0.0,28.0000,0.019630
60.0,28.5280,0.020020
120.0,29.1920,0.020530
180.0,29.6840,0.021000
240.0,30.0370,0.021510
300.0,30.8340,0.021910
360.0,31.2930,0.022330
420.0,31.8200,0.022780
480.0,32.1210,0.023250
540.0,32.7300,0.023770
600.0,33.2020,0.024280
660.0,33.8790,0.024650
720.0,34.2680,0.025060
780.0,34.8060,0.025520
840.0,35.1420,0.026120
900.0,35.5240,0.026600
960.0,36.0910,0.026870
1020.0,36.3540,0.027320
1080.0,37.0670,0.027930
1140.0,37.4190,0.028260
1200.0,37.8820,0.028910
1260.0,38.1340,0.029210
1320.0,38.7670,0.029610
1380.0,39.1250,0.030290
1440.0,39.4580,0.030510
1500.0,39.5950,0.030980
1560.0,40.0610,0.031370
1620.0,40.2380,0.031790
1680.0,40.6210,0.032190
1740.0,41.1660,0.032620
1800.0,41.5130,0.033070
1860.0,41.9180,0.033450
1920.0,41.9520,0.034030
1980.0,42.2630,0.034470
2040.0,42.5890,0.034760
2100.0,42.7450,0.035130
2160.0,42.9850,0.035580
2220.0,43.3930,0.036090
2280.0,43.5340,0.036460
2340.0,43.9700,0.036530
2400.0,44.1020,0.036940
2460.0,44.5030,0.037310
2520.0,44.6630,0.037660
2580.0,44.7010,0.038120
2640.0,45.1380,0.038400
2700.0,45.3230,0.038580
2760.0,45.3240,0.039030
2820.0,45.4620,0.039400
2880.0,45.8180,0.039540
2940.0,45.7390,0.040130
3000.0,45.9300,0.040110
3060.0,45.9990,0.040760
3120.0,46.5120,0.040700
3180.0,46.6020,0.041280
3240.0,46.7610,0.041570
3300.0,46.9330,0.041870
3360.0,46.9120,0.042050
3420.0,47.0890,0.042290
3480.0,47.0080,0.042470
3540.0,47.1110,0.042770
3600.0,47.4850,0.042720
3660.0,47.4980,0.043120
3720.0,47.6460,0.043330
3780.0,47.8400,0.043690
3840.0,47.8730,0.043730
3900.0,47.9260,0.043890
3960.0,48.0160,0.044200
4020.0,47.9770,0.044220
4080.0,47.9260,0.044350
4140.0,48.1990,0.044680
4200.0,48.1660,0.044830
4260.0,48.3310,0.044910
4320.0,48.6150,0.045140
4380.0,48.3800,0.045300
4440.0,48.3570,0.045430
4500.0,48.5260,0.045610
4560.0,48.5900,0.045890
