output,parameter,S1,ST,interaction
T_center,h,0.0205,0.0066,-0.0139
T_center,km,-0.0029,0.0004,0.0033
T_center,D0,0.0042,0.0003,-0.0039
T_center,Tinf,0.2571,0.2607,0.0036
T_center,Cinf,-0.0000,0.0000,0.0000
T_surface,h,0.0291,0.0059,-0.0232
T_surface,km,-0.0094,0.0005,0.0099
T_surface,D0,0.0054,0.0001,-0.0053
T_surface,Tinf,0.4063,0.4110,0.0047
T_surface,Cinf,-0.0000,0.0000,0.0000
C_center,h,0.0452,0.0003,-0.0449
C_center,km,-0.1291,0.0347,0.1638
C_center,D0,1.7068,1.4291,-0.2777
C_center,Tinf,0.0229,0.0063,-0.0165
C_center,Cinf,-0.0000,0.0000,0.0000
C_surface,h,0.0010,0.0000,-0.0009
C_surface,km,0.2939,0.3518,0.0579
C_surface,D0,0.2090,0.2130,0.0039
C_surface,Tinf,-0.0005,0.0014,0.0019
C_surface,Cinf,0.0000,0.0000,-0.0000
