t_s,t_h,Cbar,u_kg_per_kg_s,u_kg_per_kg_h
60,0.0167,2.53600900,1.794479e-04,0.646013
120,0.0333,2.52524212,1.766271e-04,0.635857
180,0.0500,2.51481375,1.717510e-04,0.618304
240,0.0667,2.50463200,1.675906e-04,0.603326
300,0.0833,2.49470287,1.640677e-04,0.590644
360,0.1000,2.48494387,1.612255e-04,0.580412
420,0.1167,2.47535581,1.585677e-04,0.570844
480,0.1333,2.46591575,1.562859e-04,0.562629
540,0.1500,2.45660150,1.540073e-04,0.554426
600,0.1667,2.44743488,1.519917e-04,0.547170
660,0.1833,2.43836250,1.500901e-04,0.540324
720,0.2000,2.42942406,1.481401e-04,0.533304
780,0.2167,2.42058569,1.465375e-04,0.527535
840,0.2333,2.41183956,1.451620e-04,0.522583
900,0.2500,2.40316625,1.437229e-04,0.517402
960,0.2667,2.39459281,1.422375e-04,0.512055
1020,0.2833,2.38609775,1.410307e-04,0.507711
1080,0.3000,2.37766912,1.398271e-04,0.503377
1140,0.3167,2.36931850,1.386932e-04,0.499296
1200,0.3333,2.36102594,1.374583e-04,0.494850
1260,0.3500,2.35282350,1.364568e-04,0.491244
1320,0.3667,2.34465112,1.355135e-04,0.487849
1380,0.3833,2.33656188,1.344312e-04,0.483952
1440,0.4000,2.32851937,1.336359e-04,0.481089
1500,0.4167,2.32052556,1.326568e-04,0.477564
1560,0.4333,2.31260056,1.318568e-04,0.474684
1620,0.4500,2.30470275,1.312276e-04,0.472419
1680,0.4667,2.29685325,1.304526e-04,0.469629
1740,0.4833,2.28904844,1.295370e-04,0.466333
1800,0.5000,2.28130881,1.288156e-04,0.463736
1860,0.5167,2.27359056,1.280807e-04,0.461091
1920,0.5333,2.26593913,1.274464e-04,0.458807
1980,0.5500,2.25829700,1.268906e-04,0.456806
2040,0.5667,2.25071225,1.261599e-04,0.454176
2100,0.5833,2.24315781,1.255453e-04,0.451963
2160,0.6000,2.23564681,1.248646e-04,0.449512
2220,0.6167,2.22817406,1.243135e-04,0.447529
2280,0.6333,2.22072919,1.239073e-04,0.446066
2340,0.6500,2.21330519,1.232844e-04,0.443824
2400,0.6667,2.20593506,1.226203e-04,0.441433
2460,0.6833,2.19859075,1.222068e-04,0.439944
2520,0.7000,2.19127025,1.218380e-04,0.438617
2580,0.7167,2.18397019,1.212979e-04,0.436672
2640,0.7333,2.17671450,1.206917e-04,0.434490
2700,0.7500,2.16948719,1.203224e-04,0.433161
2760,0.7667,2.16227581,1.197823e-04,0.431216
2820,0.7833,2.15511331,1.192141e-04,0.429171
2880,0.8000,2.14797013,1.188620e-04,0.427903
2940,0.8167,2.14084988,1.184885e-04,0.426559
3000,0.8333,2.13375150,1.181156e-04,0.425216
3060,0.8500,2.12667600,1.177219e-04,0.423799
3120,0.8667,2.11962488,1.172203e-04,0.421993
3180,0.8833,2.11260956,1.168646e-04,0.420713
3240,0.9000,2.10560113,1.163250e-04,0.418770
3300,0.9167,2.09865056,1.157354e-04,0.416648
3360,0.9333,2.09171287,1.155745e-04,0.416068
3420,0.9500,2.08478163,1.153719e-04,0.415339
3480,0.9667,2.07786825,1.148990e-04,0.413636
3540,0.9833,2.07099375,1.143677e-04,0.411724
3600,1.0000,2.06414412,1.141115e-04,0.410801
3660,1.0167,2.05730038,1.138182e-04,0.409746
3720,1.0333,2.05048594,1.133667e-04,0.408120
3780,1.0500,2.04369638,1.128391e-04,0.406221
3840,1.0667,2.03694525,1.126286e-04,0.405463
3900,1.0833,2.03018094,1.123260e-04,0.404374
3960,1.1000,2.02346613,1.119943e-04,0.403179
4020,1.1167,2.01674162,1.115380e-04,0.401537
4080,1.1333,2.01008156,1.111526e-04,0.400149
4140,1.1500,2.00340331,1.109380e-04,0.399377
4200,1.1667,1.99676900,1.105271e-04,0.397898
4260,1.1833,1.99014006,1.102755e-04,0.396992
4320,1.2000,1.98353594,1.099193e-04,0.395709
4380,1.2167,1.97694975,1.095120e-04,0.394243
4440,1.2333,1.97039450,1.091135e-04,0.392809
4500,1.2500,1.96385612,1.089109e-04,0.392079
4560,1.2667,1.95732519,1.085505e-04,0.390782
4620,1.2833,1.95083006,1.080693e-04,0.389049
4680,1.3000,1.94435687,1.078125e-04,0.388125
4740,1.3167,1.93789256,1.074844e-04,0.386944
4800,1.3333,1.93145875,1.071568e-04,0.385764
4860,1.3500,1.92503375,1.067880e-04,0.384437
4920,1.3667,1.91864419,1.065052e-04,0.383419
4980,1.3833,1.91225313,1.062599e-04,0.382536
5040,1.4000,1.90589300,1.058109e-04,0.380919
5100,1.4167,1.89955581,1.055380e-04,0.379937
5160,1.4333,1.89322844,1.053313e-04,0.379193
5220,1.4500,1.88691606,1.049906e-04,0.377966
5280,1.4667,1.88062956,1.045120e-04,0.376243
5340,1.4833,1.87437462,1.043583e-04,0.375690
5400,1.5000,1.86810656,1.039974e-04,0.374391
5460,1.5167,1.86189494,1.034609e-04,0.372459
5520,1.5333,1.85569125,1.033953e-04,0.372223
5580,1.5500,1.84948750,1.029667e-04,0.370680
5640,1.5667,1.84333525,1.026547e-04,0.369557
5700,1.5833,1.83716894,1.023802e-04,0.368569
5760,1.6000,1.83104962,1.019604e-04,0.367058
5820,1.6167,1.82493369,1.018318e-04,0.366594
5880,1.6333,1.81882981,1.013365e-04,0.364811
5940,1.6500,1.81277331,1.010130e-04,0.363647
6000,1.6667,1.80670825,1.007755e-04,0.362792
6060,1.6833,1.80068025,1.004922e-04,0.361772
6120,1.7000,1.79464919,1.002141e-04,0.360771
6180,1.7167,1.78865456,9.966823e-05,0.358806
6240,1.7333,1.78268900,9.934375e-05,0.357638
6300,1.7500,1.77673331,9.916094e-05,0.356979
