idx,T_inf,C_inf,h,k_m,D0,t_end_h
0,0.221078,0.141777,0.187492,0.269364,0.242611,65.033333
1,0.887744,0.141777,0.187492,0.269364,0.242611,62.316667
2,0.887744,0.000000,0.187492,0.269364,0.242611,62.266667
3,0.887744,0.000000,0.187492,0.269364,0.000000,68.966667
4,0.887744,0.000000,0.187492,0.000000,0.000000,69.866667
5,0.887744,0.000000,0.854159,0.000000,0.000000,69.850000
6,0.273476,0.202222,0.153830,0.156611,0.289803,64.016667
7,0.273476,0.868889,0.153830,0.156611,0.289803,64.333333
8,0.273476,0.868889,0.153830,0.000000,0.289803,64.966667
9,0.273476,0.868889,0.000000,0.000000,0.289803,64.983333
10,0.273476,0.868889,0.000000,0.000000,0.000000,73.116667
11,0.940142,0.868889,0.000000,0.000000,0.000000,70.083333
12,0.296625,0.265037,0.060144,0.103321,0.310366,63.633333
13,0.296625,0.265037,0.060144,0.103321,0.000000,72.300000
14,0.296625,0.265037,0.000000,0.103321,0.000000,72.300000
15,0.296625,0.265037,0.000000,0.769988,0.000000,70.616667
16,0.000000,0.265037,0.000000,0.769988,0.000000,72.033333
17,0.000000,0.931704,0.000000,0.769988,0.000000,72.266667
18,0.290087,0.219483,0.205439,0.177100,0.298851,63.650000
19,0.290087,0.219483,0.205439,0.177100,0.965517,51.133333
20,0.290087,0.219483,0.000000,0.177100,0.965517,51.150000
21,0.290087,0.219483,0.000000,0.843766,0.965517,49.333333
22,0.290087,0.886149,0.000000,0.843766,0.965517,49.583333
23,0.000000,0.886149,0.000000,0.843766,0.965517,50.483333
24,0.135835,0.008513,0.187749,0.257850,0.327510,63.250000
25,0.802502,0.008513,0.187749,0.257850,0.327510,60.616667
26,0.802502,0.675179,0.187749,0.257850,0.327510,60.900000
27,0.802502,0.675179,0.854416,0.257850,0.327510,60.866667
28,0.802502,0.675179,0.854416,0.924517,0.327510,59.266667
29,0.802502,0.675179,0.854416,0.924517,0.000000,68.116667
30,0.227599,0.243897,0.045590,0.291457,0.293705,63.683333
31,0.227599,0.000000,0.045590,0.291457,0.293705,63.600000
32,0.894265,0.000000,0.045590,0.291457,0.293705,60.950000
33,0.894265,0.000000,0.712256,0.291457,0.293705,60.933333
34,0.894265,0.000000,0.712256,0.958123,0.293705,59.466667
35,0.894265,0.000000,0.712256,0.958123,0.000000,67.483333
36,0.187873,0.014163,0.202057,0.246414,0.109035,68.866667
37,0.000000,0.014163,0.202057,0.246414,0.109035,69.716667
38,0.000000,0.014163,0.868724,0.246414,0.109035,69.700000
39,0.000000,0.014163,0.868724,0.246414,0.775701,54.716667
40,0.000000,0.014163,0.868724,0.913080,0.775701,53.083333
41,0.000000,0.680830,0.868724,0.913080,0.775701,53.283333
42,0.287345,0.002412,0.184835,0.166875,0.323119,63.033333
43,0.287345,0.002412,0.184835,0.833542,0.323119,61.400000
44,0.287345,0.002412,0.000000,0.833542,0.323119,61.400000
45,0.287345,0.000000,0.000000,0.833542,0.323119,61.400000
46,0.000000,0.000000,0.000000,0.833542,0.323119,62.583333
47,0.000000,0.000000,0.000000,0.833542,0.989785,49.850000
