t_h,dt_s,est_rel,n_accept
0.000009,0.03125000,2.849898e-07,1
0.000026,0.06250000,1.111247e-06,2
0.000061,0.12500000,4.226954e-06,3
0.000130,0.25000000,1.532439e-05,4
0.000243,0.40642077,3.510009e-05,5
0.000364,0.43656539,3.599397e-05,6
0.000493,0.46308631,3.586420e-05,7
0.000630,0.49210623,3.567909e-05,8
0.000775,0.52429955,3.548329e-05,9
0.000931,0.56013806,3.527967e-05,10
0.001098,0.60015073,3.506972e-05,11
0.001277,0.64494354,3.485554e-05,12
0.001470,0.69520570,3.464013e-05,13
0.001679,0.75171130,3.442762e-05,14
0.001905,0.81531435,3.422338e-05,15
0.002152,0.88693370,3.403409e-05,16
0.002420,0.96752367,3.386760e-05,17
0.002714,1.05802742,3.373244e-05,18
0.003036,1.15931252,3.363704e-05,19
0.003390,1.27209384,3.358839e-05,20
0.003778,1.39685735,3.359065e-05,21
0.004204,1.53380587,3.364377e-05,22
0.004671,1.68285061,3.374296e-05,23
0.005183,1.84366272,3.387912e-05,24
0.005743,2.01577909,3.404049e-05,25
0.006354,2.19873317,3.421495e-05,26
0.007018,2.39217030,3.439204e-05,27
0.007740,2.59591584,3.456429e-05,28
0.008520,2.80998678,3.472736e-05,29
0.009363,3.03456111,3.487967e-05,30
0.010271,3.26992062,3.502122e-05,31
0.011248,3.51640676,3.515301e-05,32
0.012297,3.77437769,3.527633e-05,33
0.013420,4.04418620,3.539242e-05,34
0.014622,4.32616936,3.550231e-05,35
0.015905,4.62064621,3.560683e-05,36
0.016667,2.74138724,1.219296e-05,37
0.018055,4.99623966,3.442270e-05,38
0.019560,5.41936410,3.580268e-05,39
0.021161,5.76392166,3.595292e-05,40
0.022860,6.11756346,3.604279e-05,41
0.024662,6.48480308,3.612706e-05,42
0.026569,6.86606607,3.620833e-05,43
0.028586,7.26158174,3.628690e-05,44
0.030717,7.67156219,3.636296e-05,45
0.032966,8.09620934,3.643667e-05,46
0.033333,1.32268870,1.034402e-06,47
0.034068,2.64537741,3.910533e-06,48
0.035538,5.29075482,1.424851e-05,49
0.038016,8.91990770,3.544238e-05,50
0.040664,9.53512562,3.658546e-05,51
0.043451,10.03228109,3.669121e-05,52
0.046379,10.54013493,3.675346e-05,53
0.049452,11.06431570,3.681270e-05,54
0.050000,1.97210273,1.233740e-06,55
0.051096,3.94420547,4.655869e-06,56
0.053287,7.88841094,1.698651e-05,57
0.056670,12.18049413,3.602014e-05,58
0.060258,12.91575337,3.693329e-05,59
0.064015,13.52503092,3.701578e-05,60
0.066667,9.54610517,1.777440e-05,61
0.070669,14.40974395,3.806241e-05,62
0.074798,14.86399872,3.727198e-05,63
0.079102,15.49429878,3.729949e-05,64
0.083333,15.23195855,3.351981e-05,65
0.087984,16.74296953,3.583705e-05,66
0.092928,17.79892845,3.721939e-05,67
0.098086,18.56678705,3.738551e-05,68
0.100000,6.89131496,5.238491e-06,69
0.103829,13.78262993,1.947654e-05,70
0.109349,19.87484056,3.684786e-05,71
0.115137,20.83651221,3.757902e-05,72
0.116667,5.50601730,2.709029e-06,73
0.119726,11.01203460,1.001548e-05,74
0.125843,22.02406919,3.573577e-05,75
0.132356,23.44625529,3.747312e-05,76
0.133333,3.51764092,8.863073e-07,77
0.135288,7.03528183,6.079500e-06,78
0.139196,14.07056367,1.405685e-05,79
0.145830,23.88333961,3.615845e-05,80
0.150000,15.01081488,1.399982e-05,81
0.157092,25.53115591,3.582140e-05,82
0.164633,27.14730326,3.771242e-05,83
0.166667,7.32154083,2.822395e-06,84
0.170734,14.64308166,1.570979e-05,85
