扰动,T(0),T(R),C(0),C(R)
h -20%,-0.120548,-0.095917,0.016936,-0.034402
km -20%,-0.003664,-0.003346,0.020965,0.472974
D0 -20%,-0.001593,-0.000773,0.063988,-0.197981
h +20%,0.080391,0.059337,-0.013412,0.021967
km +20%,0.003293,0.003016,-0.018958,-0.411220
D0 +20%,0.001377,0.000624,-0.072222,0.152906
T∞ +0.5℃,0.920177,0.951951,-0.094881,0.287838
T∞ -0.5℃,-0.920093,-0.951920,0.092924,-0.290070
C∞ +0.0005,-0.000092,-0.000087,0.000511,0.013460
C∞ -0.0005,0.000092,0.000087,-0.000511,-0.013460
C0 -20%,0.061495,0.039383,-0.993804,-1.016700
C0 +20%,-0.059752,-0.038480,0.996261,1.010951
