d_fac,h,km,Tinf,Cinf,C_fr,t_rel
0.7839,0.0604,0.6412,0.0464,0.9229,0.9765,-0.61706
0.6668,0.1838,0.1833,0.8014,0.8813,0.1308,-0.42969
0.5053,0.1343,0.3647,0.7615,0.2291,0.7040,-0.58749
0.4713,0.0206,0.6087,0.5242,0.0961,0.1051,-0.40692
0.2924,0.9691,0.7180,0.1858,0.4298,0.2399,-0.45786
0.0104,0.6927,0.7711,0.1290,0.8686,0.4208,-0.46228
0.0702,0.9376,0.0590,0.9199,0.5889,0.8308,-0.52445
0.6565,0.2676,0.9717,0.3280,0.7727,0.3654,-0.55734
0.2814,0.9973,0.5284,0.8458,0.2512,0.5706,-0.55546
0.5692,0.2323,0.8295,0.0704,0.9996,0.7415,-0.58791
0.4918,0.3466,0.0141,0.7115,0.4050,0.1925,-0.44805
0.9667,0.8770,0.4577,0.5878,0.7015,0.1729,-0.50880
0.5599,0.5763,0.8777,0.5801,0.3947,0.9147,-0.62096
0.6994,0.2114,0.4832,0.2693,0.0532,0.8371,-0.61461
0.6226,0.8050,0.2202,0.2162,0.1752,0.0467,-0.32068
0.0216,0.7683,0.8431,0.6572,0.3609,0.8907,-0.55857
0.0839,0.4869,0.4173,0.9609,0.5618,0.2637,-0.44014
0.1756,0.3026,0.6015,0.6738,0.8040,0.3267,-0.47494
0.7157,0.1566,0.6826,0.9981,0.1073,0.4153,-0.59195
0.8959,0.4115,0.7461,0.3570,0.7379,0.0170,-0.31602
0.4378,0.6381,0.3915,0.1982,0.7235,0.0881,-0.33737
0.2541,0.7784,0.7537,0.3405,0.8531,0.2828,-0.46544
0.9446,0.4223,0.0823,0.5509,0.0204,0.7816,-0.61294
0.5942,0.5603,0.5155,0.1163,0.3214,0.7266,-0.59050
0.7586,0.5192,0.8973,0.5090,0.9067,0.2281,-0.52191
0.3386,0.0376,0.4099,0.7858,0.4506,0.6244,-0.56032
0.1319,0.7166,0.9209,0.0011,0.6294,0.3107,-0.45679
0.3717,0.0857,0.9501,0.4683,0.4707,0.5346,-0.56577
0.9856,0.4575,0.1555,0.8673,0.1591,0.6497,-0.61346
0.8346,0.9044,0.5784,0.3087,0.5360,0.4399,-0.58043
0.2274,0.5375,0.2891,0.4276,0.5191,0.7926,-0.54742
0.8131,0.9171,0.2344,0.9427,0.6706,0.5535,-0.58674
0.3758,0.3873,0.3160,0.8266,0.4796,0.6731,-0.56447
0.4362,0.8237,0.0377,0.2429,0.8252,0.9415,-0.55540
0.1995,0.6675,0.3084,0.1033,0.9553,0.1469,-0.33894
0.8821,0.3608,0.1898,0.8881,0.0374,0.5899,-0.60534
0.4138,0.6624,0.1069,0.0368,0.5809,0.3374,-0.47955
0.1578,0.8675,0.4710,0.4395,0.2013,0.0340,-0.19773
0.7463,0.3292,0.3401,0.7025,0.0806,0.4978,-0.58774
0.2325,0.5839,0.9927,0.2753,0.1367,0.9989,-0.59454
0.0496,0.1094,0.6970,0.6387,0.3354,0.7579,-0.54772
0.6278,0.0763,0.1006,0.1537,0.6119,0.4696,-0.53772
0.7961,0.8385,0.2569,0.4887,0.2934,0.5157,-0.58147
0.8662,0.4646,0.8558,0.3909,0.7527,0.8569,-0.63302
0.5236,0.7309,0.6647,0.7348,0.6522,0.6423,-0.58670
0.9296,0.2747,0.8007,0.6226,0.9662,0.9315,-0.63993
0.1062,0.6193,0.1412,0.9130,0.2432,0.0702,-0.26634
0.3138,0.1983,0.5574,0.3998,0.2764,0.3862,-0.51822
