case,dp_rel,t_end_h,dt_end_h,S
T_inf -1.0C,-0.020000,59.416667,1.883333,-1.636732
T_inf +1.0C,0.020000,55.750000,-1.783333,-1.549826
C_inf -20%,-0.200000,57.366667,-0.166667,0.014484
C_inf +20%,0.200000,57.783333,0.250000,0.021727
h -20%,-0.200000,57.566667,0.033333,-0.002897
h +20%,0.200000,57.533333,0.000000,0.000000
k_m -20%,-0.200000,59.233333,1.700000,-0.147740
k_m +20%,0.200000,56.500000,-1.033333,-0.089803
D0 -20%,-0.200000,70.333333,12.800000,-1.112399
D0 +20%,0.200000,49.100000,-8.433333,-0.732908
