output,param,mu_star,sigma,S1,ST
CR,h,0.00000000e+00,0.00000000e+00,-0.00148748,0.00010776
CR,km,2.92720419e-01,1.85344202e-02,0.56499714,0.82474125
CR,D0,1.37488794e-01,1.91517961e-02,0.25243278,0.17385149
CR,Tinf_off,0.00000000e+00,0.00000000e+00,-0.00183591,0.00001745
CR,Cinf_off,4.16042500e-04,6.42114662e-05,0.00087203,0.00000399
TR,h,1.50792791e+00,8.24006654e-02,-1.00000000,0.75574859
TR,km,0.00000000e+00,0.00000000e+00,-0.00208202,0.00000063
TR,D0,0.00000000e+00,0.00000000e+00,0.00221568,0.00000165
TR,Tinf_off,8.45134596e-01,3.80236257e-02,1.00000000,0.26614427
TR,Cinf_off,0.00000000e+00,0.00000000e+00,-0.00075349,0.00000047
