t_s,h_next_s
0.000000,1.000000
1.000000,0.400000
1.400000,0.160000
1.560000,0.064000
1.624000,0.025600
1.649600,0.010240
1.659840,0.004096
1.663936,0.001776
1.665712,0.001170
1.666882,0.000949
1.667831,0.000855
1.668686,0.000812
1.669498,0.000791
1.670290,0.000781
1.671071,0.000776
1.671847,0.000774
1.672622,0.000773
1.673395,0.000773
1.674168,0.000773
1.674941,0.000773
1.675714,0.000773
1.676487,0.000773
1.677260,0.000774
1.678034,0.000774
1.678808,0.000774
1.679582,0.000774
1.680357,0.000775
1.681131,0.000775
1.681906,0.000775
1.682681,0.000776
1.683457,0.000776
1.684233,0.000776
1.685009,0.000776
1.685786,0.000777
1.686562,0.000777
1.687339,0.000777
1.688116,0.000777
1.688894,0.000778
1.689671,0.000778
1.690449,0.000778
1.691227,0.000778
1.692006,0.000779
1.692784,0.000779
1.693563,0.000779
1.694342,0.000779
1.695121,0.000780
1.695901,0.000780
1.696681,0.000780
1.697461,0.000781
1.698241,0.000781
1.699022,0.000781
1.699803,0.000782
1.700585,0.000782
1.701366,0.000782
1.702148,0.000782
1.702931,0.000783
1.703714,0.000783
1.704497,0.000783
1.705280,0.000784
1.706064,0.000784
1.706847,0.000784
1.707631,0.000784
1.708415,0.000784
1.709199,0.000785
1.709984,0.000785
1.710768,0.000785
1.711554,0.000786
1.712339,0.000786
1.713125,0.000786
1.713911,0.000787
1.714697,0.000787
1.715484,0.000787
1.716271,0.000787
1.717059,0.000788
1.717846,0.000788
1.718634,0.000788
1.719422,0.000788
1.720210,0.000789
1.720999,0.000789
1.721788,0.000789
1.722577,0.000789
1.723366,0.000790
1.724155,0.000790
1.724946,0.000790
1.725736,0.000790
1.726527,0.000791
1.727317,0.000791
1.728108,0.000791
1.728899,0.000791
1.729691,0.000792
1.730482,0.000792
1.731274,0.000792
1.732066,0.000792
1.732859,0.000793
1.733651,0.000793
1.734445,0.000793
1.735238,0.000794
1.736032,0.000794
1.736825,0.000794
1.737620,0.000794
1.738414,0.000795
1.739209,0.000795
1.740003,0.000795
1.740798,0.000795
1.741594,0.000796
1.742390,0.000796
1.743186,0.000797
1.743982,0.000797
1.744779,0.000797
1.745576,0.000797
1.746373,0.000797
1.747170,0.000798
1.747968,0.000798
1.748766,0.000798
1.749564,0.000798
1.750362,0.000799
1.751160,0.000799
1.751959,0.000799
1.752758,0.000800
1.753558,0.000800
1.754358,0.000800
1.755158,0.000800
1.755958,0.000800
1.756758,0.000801
1.757559,0.000801
1.758360,0.000802
1.759161,0.000802
1.759963,0.000802
1.760765,0.000802
1.761567,0.000803
1.762370,0.000803
1.763173,0.000803
1.763976,0.000803
1.764779,0.000803
1.765583,0.000804
1.766387,0.000804
1.767190,0.000804
1.767995,0.000805
1.768799,0.000805
1.769604,0.000805
1.770409,0.000805
1.771214,0.000805
1.772020,0.000806
1.772826,0.000806
1.773632,0.000807
1.774439,0.000807
1.775246,0.000807
1.776053,0.000807
1.776861,0.000807
1.777668,0.000808
1.778476,0.000808
1.779284,0.000808
1.780092,0.000809
1.780900,0.000809
1.781709,0.000809
1.782518,0.000809
1.783328,0.000810
1.784137,0.000810
1.784947,0.000810
1.785757,0.000810
1.786568,0.000811
1.787378,0.000811
1.788189,0.000811
1.789001,0.000811
1.789812,0.000812
1.790624,0.000812
1.791436,0.000812
1.792248,0.000813
1.793061,0.000813
1.793874,0.000813
1.794687,0.000814
1.795501,0.000814
1.796315,0.000814
1.797129,0.000814
1.797943,0.000814
1.798757,0.000815
1.799572,0.000815
1.800387,0.000815
1.801203,0.000816
1.802019,0.000816
1.802834,0.000816
1.803650,0.000817
1.804467,0.000817
1.805284,0.000817
1.806100,0.000817
1.806918,0.000817
1.807735,0.000818
1.808553,0.000818
1.809370,0.000818
1.810189,0.000818
1.811007,0.000819
1.811826,0.000819
1.812645,0.000819
1.813464,0.000819
1.814283,0.000820
1.815103,0.000820
1.815923,0.000820
1.816743,0.000821
1.817564,0.000821
1.818385,0.000821
1.863096,0.000835
1.908566,0.000849
1.954793,0.000863
2.001769,0.000877
2.049492,0.000890
2.097957,0.000904
2.147160,0.000918
2.197102,0.000932
2.247776,0.000945
2.299178,0.000959
2.351310,0.000972
2.404169,0.000986
2.457755,0.000999
2.512062,0.001013
2.567099,0.001026
2.622854,0.001039
2.679332,0.001053
2.736532,0.001066
2.794452,0.001079
2.853091,0.001093
2.912452,0.001106
2.972538,0.001120
3.033337,0.001133
3.094861,0.001146
3.157104,0.001159
3.220065,0.001173
3.283746,0.001186
3.348146,0.001199
3.413269,0.001213
3.479115,0.001226
3.545678,0.001240
3.612964,0.001253
3.680978,0.001266
3.749710,0.001280
3.819164,0.001293
3.889343,0.001306
3.960245,0.001320
4.031871,0.001334
4.104224,0.001347
4.177303,0.001360
4.251108,0.001374
4.325644,0.001387
4.400904,0.001401
4.476891,0.001414
4.553610,0.001428
4.631058,0.001441
4.709236,0.001455
4.788153,0.001468
4.867793,0.001482
4.948169,0.001496
5.029283,0.001509
5.111130,0.001523
5.193712,0.001536
5.277034,0.001550
5.361095,0.001564
5.445891,0.001578
5.531428,0.001591
5.617710,0.001605
5.704727,0.001619
5.792493,0.001632
5.880997,0.001646
5.970237,0.001659
6.060203,0.001673
6.150891,0.001687
6.242306,0.001700
6.334445,0.001713
6.427308,0.001727
6.520898,0.001740
6.615219,0.001753
6.710267,0.001767
6.806047,0.001781
6.902560,0.001794
6.999804,0.001808
7.097777,0.001821
7.196484,0.001835
7.295930,0.001848
7.396114,0.001862
7.497035,0.001876
7.598693,0.001889
7.701094,0.001903
7.804231,0.001917
7.908113,0.001931
8.012739,0.001944
8.118108,0.001958
8.224223,0.001972
8.331085,0.001986
8.438696,0.002000
8.547060,0.002014
8.656171,0.002028
8.766032,0.002042
8.876643,0.002055
8.988010,0.002069
9.100134,0.002083
9.213013,0.002098
9.326649,0.002112
9.441040,0.002126
9.556193,0.002140
9.672108,0.002154
9.788784,0.002168
9.906226,0.002182
10.024428,0.002196
10.143396,0.002210
10.263131,0.002225
10.383636,0.002239
10.504905,0.002253
10.626949,0.002268
10.749761,0.002282
10.873343,0.002296
10.997701,0.002310
11.122837,0.002325
11.248753,0.002339
11.375439,0.002354
11.502911,0.002368
11.631159,0.002382
11.760189,0.002397
11.890002,0.002411
12.020597,0.002426
12.151980,0.002440
12.284147,0.002455
12.417104,0.002470
12.550847,0.002484
12.685378,0.002499
12.820701,0.002513
12.956816,0.002528
13.093731,0.002543
13.231437,0.002558
13.369945,0.002572
13.509246,0.002587
13.649343,0.002602
13.790241,0.002617
13.931943,0.002632
14.074446,0.002647
14.217753,0.002661
14.361864,0.002676
14.506784,0.002692
14.652515,0.002706
14.799054,0.002721
14.946404,0.002736
15.094565,0.002752
15.243538,0.002766
15.393328,0.002781
15.543931,0.002797
15.695348,0.002812
15.847584,0.002827
16.000640,0.002842
16.154521,0.002857
16.309220,0.002873
16.464743,0.002888
16.621089,0.002903
16.778268,0.002918
16.936270,0.002934
17.095101,0.002949
17.254766,0.002964
17.415264,0.002980
17.576589,0.002995
17.738750,0.003011
17.901748,0.003026
18.065575,0.003042
18.230226,0.003057
18.395690,0.003072
18.561968,0.003087
18.729071,0.003102
18.896987,0.003117
19.065723,0.003133
19.235279,0.003148
19.405661,0.003163
19.576864,0.003179
19.748898,0.003194
19.921761,0.003209
20.095451,0.003224
20.269968,0.003240
20.445316,0.003255
20.621496,0.003270
20.798509,0.003286
20.976356,0.003301
21.155041,0.003317
21.334562,0.003332
21.514925,0.003348
21.696128,0.003364
21.878172,0.003379
22.061056,0.003395
22.244785,0.003410
22.429364,0.003426
22.614786,0.003442
22.801058,0.003458
22.988182,0.003473
23.176155,0.003489
23.364984,0.003505
23.554668,0.003521
23.745201,0.003536
23.936591,0.003552
24.128840,0.003568
24.321948,0.003584
24.515920,0.003600
24.710752,0.003616
24.906446,0.003632
25.103006,0.003648
25.300435,0.003664
25.498733,0.003680
25.697895,0.003696
25.897930,0.003713
26.098835,0.003729
26.300615,0.003745
26.503270,0.003761
26.706798,0.003778
26.911204,0.003793
27.116489,0.003810
27.322660,0.003826
27.529709,0.003842
27.737640,0.003859
27.946459,0.003876
28.156160,0.003892
28.366750,0.003908
28.578231,0.003925
28.790601,0.003941
29.003856,0.003957
29.218010,0.003974
29.433062,0.003991
29.649008,0.004007
29.865851,0.004024
30.083591,0.004041
30.302233,0.004057
30.521778,0.004074
30.742215,0.004090
30.963544,0.004107
31.185754,0.004123
31.408842,0.004139
31.632815,0.004156
31.857678,0.004172
32.083422,0.004189
32.310056,0.004205
32.537574,0.004222
32.765986,0.004238
32.995285,0.004255
33.225480,0.004271
33.456571,0.004288
33.688557,0.004305
33.921435,0.004321
34.155218,0.004338
34.389900,0.004354
34.625482,0.004371
34.861970,0.004388
35.099356,0.004405
35.337655,0.004421
35.576856,0.004438
35.816965,0.004455
36.057986,0.004472
36.299918,0.004489
36.542765,0.004506
36.786526,0.004523
37.031207,0.004540
37.276801,0.004557
37.523317,0.004574
37.770750,0.004591
38.019106,0.004608
38.268386,0.004625
38.518590,0.004642
38.769722,0.004659
39.021780,0.004676
39.274766,0.004693
39.528683,0.004711
39.783531,0.004728
40.039312,0.004745
40.296029,0.004763
40.553682,0.004780
40.812271,0.004798
