t_h,dT_K
0.0167,-0.032173
0.0333,-0.040705
0.0500,-0.045931
0.0667,-0.049609
0.0833,-0.052385
0.1000,-0.054580
0.1167,-0.056369
0.1333,-0.057863
0.1500,-0.059134
0.1667,-0.060236
0.1833,-0.061209
0.2000,-0.062083
0.2167,-0.062874
0.2333,-0.063598
0.2500,-0.064266
0.2667,-0.064893
0.2833,-0.065483
0.3000,-0.066038
0.3167,-0.066574
0.3333,-0.067083
0.3500,-0.067576
0.3667,-0.068047
0.3833,-0.068503
0.4000,-0.068946
0.4167,-0.069373
0.4333,-0.069781
0.4500,-0.070177
0.4667,-0.070557
0.4833,-0.070925
0.5000,-0.071285
0.5167,-0.071530
0.5333,-0.071773
0.5500,-0.072001
0.5667,-0.072221
0.5833,-0.072430
0.6000,-0.072625
0.6167,-0.072806
0.6333,-0.072982
0.6500,-0.073148
0.6667,-0.073304
0.6833,-0.073448
0.7000,-0.073586
0.7167,-0.073712
0.7333,-0.073824
0.7500,-0.073933
0.7667,-0.074032
0.7833,-0.074118
0.8000,-0.074195
0.8167,-0.074265
0.8333,-0.074325
0.8500,-0.074373
0.8667,-0.074414
0.8833,-0.074453
0.9000,-0.074484
0.9167,-0.074508
0.9333,-0.074528
0.9500,-0.074537
0.9667,-0.074543
0.9833,-0.074536
1.0000,-0.074524
1.0167,-0.074539
1.0333,-0.074544
1.0500,-0.074541
1.0667,-0.074538
1.0833,-0.074528
1.1000,-0.074509
1.1167,-0.074488
1.1333,-0.074460
1.1500,-0.074420
1.1667,-0.074381
1.1833,-0.074337
1.2000,-0.074286
1.2167,-0.074239
1.2333,-0.074182
1.2500,-0.074116
1.2667,-0.074047
1.2833,-0.073977
1.3000,-0.073903
1.3167,-0.073825
1.3333,-0.073749
1.3500,-0.073669
1.3667,-0.073579
1.3833,-0.073492
1.4000,-0.073396
1.4167,-0.073293
1.4333,-0.073187
1.4500,-0.073086
1.4667,-0.072982
1.4833,-0.072866
1.5000,-0.072757
1.5167,-0.072603
1.5333,-0.072455
1.5500,-0.072308
1.5667,-0.072155
1.5833,-0.072001
1.6000,-0.071844
1.6167,-0.071690
1.6333,-0.071522
1.6500,-0.071357
1.6667,-0.071194
1.6833,-0.071033
1.7000,-0.070870
1.7167,-0.070696
1.7333,-0.070529
1.7500,-0.070359
1.7667,-0.070192
1.7833,-0.070016
1.8000,-0.069841
1.8167,-0.069656
1.8333,-0.069483
1.8500,-0.069302
1.8667,-0.069117
1.8833,-0.068932
1.9000,-0.068750
1.9167,-0.068559
1.9333,-0.068375
1.9500,-0.068193
1.9667,-0.068008
1.9833,-0.067816
2.0000,-0.067632
2.0167,-0.067343
2.0333,-0.067062
2.0500,-0.066773
2.0667,-0.066493
2.0833,-0.066208
2.1000,-0.065930
2.1167,-0.065655
2.1333,-0.065375
2.1500,-0.065095
2.1667,-0.064827
2.1833,-0.064550
2.2000,-0.064284
2.2167,-0.064017
2.2333,-0.063748
2.2500,-0.063478
2.2667,-0.063205
2.2833,-0.062945
2.3000,-0.062678
2.3167,-0.062420
2.3333,-0.062151
2.3500,-0.061889
2.3667,-0.061629
2.3833,-0.061377
2.4000,-0.061118
2.4167,-0.060863
2.4333,-0.060605
2.4500,-0.060354
2.4667,-0.060100
2.4833,-0.059850
2.5000,-0.059595
2.5167,-0.059349
2.5333,-0.059110
2.5500,-0.058866
2.5667,-0.058626
2.5833,-0.058379
2.6000,-0.058145
2.6167,-0.057905
2.6333,-0.057671
2.6500,-0.057439
2.6667,-0.057207
2.6833,-0.056970
2.7000,-0.056748
2.7167,-0.056514
2.7333,-0.056281
2.7500,-0.056058
