time_s,T_center,T_surface,C_center,C_surface
1,28.0000,28.0002,2.5500,2.5351
2,28.0000,28.0005,2.5500,2.5222
3,28.0000,28.0009,2.5500,2.5110
4,28.0000,28.0015,2.5500,2.5012
5,28.0000,28.0020,2.5500,2.4923
6,28.0000,28.0027,2.5500,2.4844
7,28.0000,28.0034,2.5500,2.4771
8,28.0000,28.0041,2.5500,2.4705
9,28.0000,28.0049,2.5500,2.4643
10,28.0000,28.0057,2.5500,2.4586
11,28.0000,28.0066,2.5500,2.4532
12,28.0000,28.0075,2.5500,2.4481
13,28.0000,28.0085,2.5500,2.4433
14,28.0000,28.0094,2.5500,2.4387
15,28.0000,28.0104,2.5500,2.4343
16,28.0000,28.0115,2.5500,2.4301
17,28.0000,28.0126,2.5500,2.4261
18,28.0000,28.0137,2.5500,2.4222
19,28.0000,28.0148,2.5500,2.4184
20,28.0000,28.0160,2.5500,2.4147
21,28.0000,28.0172,2.5500,2.4112
22,28.0000,28.0184,2.5500,2.4077
23,28.0000,28.0197,2.5500,2.4044
24,28.0000,28.0209,2.5500,2.4011
25,28.0000,28.0222,2.5500,2.3979
26,28.0000,28.0235,2.5500,2.3948
27,28.0000,28.0249,2.5500,2.3918
28,28.0000,28.0263,2.5500,2.3888
29,28.0000,28.0277,2.5500,2.3859
30,28.0000,28.0291,2.5500,2.3830
31,28.0000,28.0305,2.5500,2.3802
32,28.0000,28.0320,2.5500,2.3774
33,28.0000,28.0334,2.5500,2.3747
34,28.0000,28.0349,2.5500,2.3721
35,28.0000,28.0365,2.5500,2.3694
36,28.0000,28.0380,2.5500,2.3669
37,28.0000,28.0396,2.5500,2.3643
38,28.0000,28.0411,2.5500,2.3618
39,28.0000,28.0427,2.5500,2.3594
40,28.0000,28.0444,2.5500,2.3570
41,28.0000,28.0460,2.5500,2.3546
42,28.0000,28.0476,2.5500,2.3522
43,28.0000,28.0493,2.5500,2.3499
44,28.0000,28.0510,2.5500,2.3476
45,28.0000,28.0527,2.5500,2.3453
46,28.0000,28.0544,2.5500,2.3431
47,28.0000,28.0562,2.5500,2.3409
48,28.0000,28.0579,2.5500,2.3387
49,28.0000,28.0597,2.5500,2.3366
50,28.0000,28.0615,2.5500,2.3344
51,28.0000,28.0633,2.5500,2.3323
52,28.0000,28.0651,2.5500,2.3302
53,28.0000,28.0670,2.5500,2.3282
54,28.0000,28.0688,2.5500,2.3261
55,28.0000,28.0707,2.5500,2.3241
56,28.0000,28.0726,2.5500,2.3221
57,28.0000,28.0745,2.5500,2.3201
58,28.0000,28.0764,2.5500,2.3182
59,28.0000,28.0783,2.5500,2.3163
60,28.0000,28.0802,2.5500,2.3143
61,28.0000,28.0822,2.5500,2.3124
62,28.0000,28.0843,2.5500,2.3106
63,28.0000,28.0864,2.5500,2.3087
64,28.0000,28.0885,2.5500,2.3068
