t,T_center_q1,T_center_q2,T_surface_q1,T_surface_q2,C_surface_q1,C_surface_q2
1,28.0,28.0,28.0002,28.0001,2.5351,2.5352
2,28.0,28.0,28.0005,28.0004,2.5222,2.5227
3,28.0,28.0,28.0009,28.0007,2.511,2.5119
4,28.0,28.0,28.0015,28.001,2.5012,2.5026
5,28.0,28.0,28.002,28.0014,2.4923,2.4943
6,28.0,28.0,28.0027,28.0019,2.4844,2.4869
7,28.0,28.0,28.0034,28.0024,2.4771,2.4802
8,28.0,28.0,28.0041,28.0029,2.4705,2.4741
9,28.0,28.0,28.0049,28.0034,2.4643,2.4684
10,28.0,28.0,28.0057,28.004,2.4586,2.4631
11,28.0,28.0,28.0066,28.0046,2.4532,2.4582
12,28.0,28.0,28.0075,28.0053,2.4481,2.4535
13,28.0,28.0,28.0085,28.006,2.4433,2.449
14,28.0,28.0,28.0094,28.0067,2.4387,2.4448
15,28.0,28.0,28.0104,28.0074,2.4343,2.4408
16,28.0,28.0,28.0115,28.0081,2.4301,2.4369
17,28.0,28.0,28.0126,28.0089,2.4261,2.4331
18,28.0,28.0,28.0137,28.0097,2.4222,2.4295
19,28.0,28.0,28.0148,28.0105,2.4184,2.426
20,28.0,28.0,28.016,28.0113,2.4147,2.4226
21,28.0,28.0,28.0172,28.0122,2.4112,2.4193
22,28.0,28.0,28.0184,28.0131,2.4077,2.4161
23,28.0,28.0,28.0197,28.014,2.4044,2.413
24,28.0,28.0,28.0209,28.0149,2.4011,2.41
25,28.0,28.0,28.0222,28.0158,2.3979,2.407
26,28.0,28.0,28.0235,28.0168,2.3948,2.4041
27,28.0,28.0,28.0249,28.0177,2.3918,2.4013
28,28.0,28.0,28.0263,28.0187,2.3888,2.3985
29,28.0,28.0,28.0277,28.0197,2.3859,2.3958
30,28.0,28.0,28.0291,28.0207,2.383,2.3931
31,28.0,28.0,28.0305,28.0218,2.3802,2.3905
32,28.0,28.0,28.032,28.0228,2.3774,2.388
33,28.0,28.0,28.0334,28.0239,2.3747,2.3854
34,28.0,28.0,28.0349,28.025,2.3721,2.383
35,28.0,28.0,28.0365,28.0261,2.3694,2.3805
36,28.0,28.0,28.038,28.0272,2.3669,2.3781
37,28.0,28.0,28.0396,28.0283,2.3643,2.3758
38,28.0,28.0,28.0411,28.0295,2.3618,2.3735
39,28.0,28.0,28.0427,28.0306,2.3594,2.3712
40,28.0,28.0,28.0444,28.0318,2.357,2.3689
41,28.0,28.0,28.046,28.033,2.3546,2.3667
42,28.0,28.0,28.0476,28.0342,2.3522,2.3645
43,28.0,28.0,28.0493,28.0354,2.3499,2.3623
44,28.0,28.0,28.051,28.0366,2.3476,2.3602
45,28.0,28.0,28.0527,28.0379,2.3453,2.3581
46,28.0,28.0,28.0544,28.0391,2.3431,2.356
47,28.0,28.0,28.0562,28.0404,2.3409,2.3539
48,28.0,28.0,28.0579,28.0417,2.3387,2.3519
49,28.0,28.0,28.0597,28.043,2.3366,2.3499
50,28.0,28.0,28.0615,28.0443,2.3344,2.3479
51,28.0,28.0,28.0633,28.0456,2.3323,2.346
52,28.0,28.0,28.0651,28.0469,2.3302,2.344
53,28.0,28.0,28.067,28.0483,2.3282,2.3421
54,28.0,28.0,28.0688,28.0496,2.3261,2.3402
55,28.0,28.0,28.0707,28.051,2.3241,2.3383
56,28.0,28.0,28.0726,28.0524,2.3221,2.3365
57,28.0,28.0,28.0745,28.0538,2.3201,2.3346
58,28.0,28.0,28.0764,28.0552,2.3182,2.3328
59,28.0,28.0,28.0783,28.0566,2.3163,2.331
60,28.0,28.0,28.0802,28.058,2.3143,2.3292
61,28.0,28.0,28.0822,28.0595,2.3124,2.3274
62,28.0,28.0,28.0843,28.061,2.3106,2.3257
63,28.0,28.0,28.0864,28.0625,2.3087,2.324
64,28.0,28.0,28.0885,28.0641,2.3068,2.3222
65,28.0,28.0,28.0907,28.0657,2.305,2.3205
66,28.0,28.0,28.0929,28.0673,2.3032,2.3188
67,28.0,28.0,28.0951,28.0689,2.3014,2.3172
68,28.0,28.0,28.0974,28.0706,2.2996,2.3155
69,28.0,28.0,28.0996,28.0723,2.2978,2.3139
70,28.0,28.0,28.1019,28.0739,2.2961,2.3122
