output,parameter,rel_minus,rel_plus,S_half
T_center,h,-0.120548,0.080391,0.100470
T_center,km,-0.003664,0.003293,0.003478
T_center,D0,-0.001593,0.001377,0.001485
T_center,Tinf,-0.920093,0.920177,0.920135
T_center,Cinf,0.000092,-0.000092,-0.000092
T_center,C0,0.061495,-0.059752,-0.060623
T_surface,h,-0.095917,0.059337,0.077627
T_surface,km,-0.003346,0.003016,0.003181
T_surface,D0,-0.000773,0.000624,0.000699
T_surface,Tinf,-0.951920,0.951951,0.951936
T_surface,Cinf,0.000087,-0.000087,-0.000087
T_surface,C0,0.039383,-0.038480,-0.038932
C_center,h,0.016936,-0.013412,-0.015174
C_center,km,0.020965,-0.018958,-0.019962
C_center,D0,0.063988,-0.072222,-0.068105
C_center,Tinf,0.092924,-0.094881,-0.093902
C_center,Cinf,-0.000511,0.000511,0.000511
C_center,C0,-0.993804,0.996261,0.995032
C_surface,h,-0.034402,0.021967,0.028185
C_surface,km,0.472974,-0.411220,-0.442097
C_surface,D0,-0.197981,0.152906,0.175443
C_surface,Tinf,-0.290070,0.287838,0.288954
C_surface,Cinf,-0.013460,0.013460,0.013460
C_surface,C0,-1.016700,1.010951,1.013825
