t_h,C_center,C_surface,C_mean_env
0.016667,2.55,2.3292,0.02002
0.033333,2.55,2.2434,0.02053
0.05,2.55,2.1808,0.021
0.066667,2.55,2.13,0.02151
0.083333,2.55,2.087,0.02191
0.1,2.55,2.0494,0.02233
0.116667,2.55,2.0159,0.02278
0.133333,2.55,1.9856,0.02325
0.15,2.55,1.958,0.02377
0.166667,2.55,1.9326,0.02428
0.183333,2.55,1.9092,0.02465
0.2,2.55,1.8875,0.02506
0.216667,2.55,1.8673,0.02552
0.233333,2.55,1.8483,0.02612
0.25,2.55,1.8304,0.0266
0.266667,2.55,1.8135,0.02687
0.283333,2.55,1.7976,0.02732
0.3,2.55,1.7826,0.02793
0.316667,2.55,1.7684,0.02826
0.333333,2.55,1.7549,0.02891
0.35,2.55,1.742,0.02921
0.366667,2.55,1.7298,0.02961
0.383333,2.55,1.7182,0.03029
0.4,2.55,1.707,0.03051
0.416667,2.55,1.6963,0.03098
0.433333,2.55,1.6859,0.03137
0.45,2.55,1.676,0.03179
0.466667,2.55,1.6664,0.03219
0.483333,2.55,1.6573,0.03262
0.5,2.5499,1.6486,0.03307
0.516667,2.5499,1.6402,0.03345
0.533333,2.5499,1.6321,0.03403
0.55,2.5498,1.6242,0.03447
0.566667,2.5497,1.6165,0.03476
0.583333,2.5496,1.6091,0.03513
0.6,2.5495,1.6018,0.03558
0.616667,2.5494,1.5949,0.03609
0.633333,2.5492,1.5881,0.03646
0.65,2.549,1.5815,0.03653
0.666667,2.5488,1.5751,0.03694
0.683333,2.5485,1.5689,0.03731
0.7,2.5481,1.5629,0.03766
0.716667,2.5477,1.557,0.03812
0.733333,2.5472,1.5512,0.0384
0.75,2.5467,1.5456,0.03858
0.766667,2.5461,1.54,0.03903
0.783333,2.5454,1.5345,0.0394
0.8,2.5446,1.5292,0.03954
0.816667,2.5437,1.5239,0.04013
0.833333,2.5427,1.5187,0.04011
0.85,2.5415,1.5135,0.04076
0.866667,2.5403,1.5085,0.0407
0.883333,2.539,1.5037,0.04128
0.9,2.5375,1.4989,0.04157
0.916667,2.5359,1.4942,0.04187
0.933333,2.5341,1.4895,0.04205
0.95,2.5322,1.4848,0.04229
0.966667,2.5302,1.4802,0.04247
0.983333,2.528,1.4756,0.04277
1.0,2.5257,1.4711,0.04272
1.016667,2.5232,1.4666,0.04312
1.033333,2.5205,1.4622,0.04333
1.05,2.5177,1.4579,0.04369
1.066667,2.5148,1.4536,0.04373
1.083333,2.5116,1.4493,0.04389
1.1,2.5084,1.445,0.0442
1.116667,2.5049,1.4407,0.04422
1.133333,2.5013,1.4364,0.04435
1.15,2.4975,1.4322,0.04468
1.166667,2.4936,1.428,0.04483
