t_h,TR,T_inf,theta_meas,theta_qs,T_ad
0.0000,28.0000,28.0000,+0.00000,+2.65393,57.07
0.0167,28.3524,28.5280,-0.17561,+2.66575,57.31
0.0333,28.6418,29.1920,-0.55018,+2.67865,57.56
0.0500,28.9285,29.6840,-0.75551,+2.69254,57.80
0.0667,29.1964,30.0370,-0.84060,+2.70777,58.05
0.0833,29.5214,30.8340,-1.31256,+2.72401,58.30
0.1000,29.8424,31.2930,-1.45063,+2.74130,58.55
0.1167,30.1664,31.8200,-1.65359,+2.76009,58.80
0.1333,30.4662,32.1210,-1.65479,+2.77911,59.05
0.1500,30.7963,32.7300,-1.93371,+2.79856,59.31
0.1667,31.1320,33.2020,-2.06998,+2.81967,59.56
0.1833,31.4998,33.8790,-2.37918,+2.84157,59.82
0.2000,31.8501,34.2680,-2.41791,+2.86401,60.08
0.2167,32.2099,34.8060,-2.59606,+2.88776,60.34
0.2333,32.5516,35.1420,-2.59035,+2.91169,60.61
0.2500,32.8876,35.5240,-2.63641,+2.93553,60.87
0.2667,33.2518,36.0910,-2.83923,+2.96077,61.14
0.2833,33.5894,36.3540,-2.76464,+2.98610,61.41
0.3000,33.9762,37.0670,-3.09085,+3.01182,61.68
0.3167,34.3464,37.4190,-3.07263,+3.03907,61.95
0.3333,34.7176,37.8820,-3.16437,+3.06633,62.23
0.3500,35.0632,38.1340,-3.07075,+3.09338,62.50
0.3667,35.4502,38.7670,-3.31679,+3.12171,62.78
0.3833,35.8263,39.1250,-3.29874,+3.15034,63.06
0.4000,36.1869,39.4580,-3.27114,+3.17870,63.34
0.4167,36.5111,39.5950,-3.08390,+3.20750,63.62
0.4333,36.8633,40.0610,-3.19774,+3.23599,63.91
0.4500,37.1919,40.2380,-3.04610,+3.26417,64.20
0.4667,37.5325,40.6210,-3.08854,+3.29309,64.49
0.4833,37.9104,41.1660,-3.25557,+3.32230,64.78
0.5000,38.2800,41.5130,-3.23302,+2.71819,65.07
0.5167,38.5971,41.9180,-3.32088,+2.10027,65.25
0.5333,38.8672,41.9520,-3.08485,+2.11522,65.44
0.5500,39.1481,42.2630,-3.11489,+2.12956,65.62
0.5667,39.4440,42.5890,-3.14501,+2.14485,65.81
0.5833,39.7190,42.7450,-3.02602,+2.15967,66.00
0.6000,39.9929,42.9850,-2.99213,+2.17393,66.18
0.6167,40.2951,43.3930,-3.09790,+2.18918,66.37
0.6333,40.5726,43.5340,-2.96143,+2.20403,66.56
0.6500,40.8783,43.9700,-3.09174,+2.21852,66.75
0.6667,41.1581,44.1020,-2.94389,+2.23388,66.94
0.6833,41.4599,44.5030,-3.04309,+2.24883,67.13
0.7000,41.7421,44.6630,-2.92085,+2.26336,67.32
0.7167,41.9882,44.7010,-2.71283,+2.27835,67.52
0.7333,42.2774,45.1380,-2.86062,+2.29290,67.71
0.7500,42.5563,45.3230,-2.76667,+2.30713,67.91
0.7667,42.7928,45.3240,-2.53121,+2.32183,68.10
0.7833,43.0262,45.4620,-2.43580,+2.33569,68.30
0.8000,43.2950,45.8180,-2.52298,+2.34915,68.49
0.8167,43.5143,45.7390,-2.22467,+2.36324,68.69
0.8333,43.7406,45.9300,-2.18944,+2.37648,68.89
0.8500,43.9570,45.9990,-2.04196,+2.38904,69.09
0.8667,44.2346,46.5120,-2.27736,+2.40272,69.29
0.8833,44.4851,46.6020,-2.11691,+2.41609,69.49
0.9000,44.7223,46.7610,-2.03873,+2.42872,69.70
0.9167,44.9588,46.9330,-1.97421,+2.44211,69.90
0.9333,45.1625,46.9120,-1.74951,+2.45468,70.10
0.9500,45.3759,47.0890,-1.71315,+2.46646,70.31
0.9667,45.5555,47.0080,-1.45248,+2.47878,70.51
0.9833,45.7390,47.1110,-1.37202,+2.49020,70.72
1.0000,45.9719,47.4850,-1.51312,+2.69128,70.93
1.0167,46.1919,47.4980,-1.30611,+2.89629,71.17
1.0333,46.4074,47.6460,-1.23855,+2.91045,71.41
1.0500,46.6328,47.8400,-1.20718,+2.92403,71.65
1.0667,46.8361,47.8730,-1.03690,+2.93829,71.90
1.0833,47.0266,47.9260,-0.89936,+2.95162,72.14
1.1000,47.2165,48.0160,-0.79954,+2.96413,72.39
1.1167,47.3835,47.9770,-0.59353,+2.97715,72.64
1.1333,47.5317,47.9260,-0.39433,+2.98906,72.89
1.1500,47.7215,48.1990,-0.47753,+3.00035,73.14
1.1667,47.8874,48.1660,-0.27862,+3.01246,73.39
