t_h,R_cm
0.0000,2.0000
0.5000,1.8730
1.0000,1.7940
1.5000,1.7030
2.0000,1.6250
2.5000,1.5890
3.0000,1.5520
3.5000,1.5100
4.0000,1.4770
4.5000,1.4470
5.0000,1.4240
5.5000,1.3970
6.0000,1.3740
6.5000,1.3560
7.0000,1.3370
7.5000,1.3210
8.0000,1.3110
8.5000,1.2990
9.0000,1.2910
9.5000,1.2810
10.0000,1.2730
10.5000,1.2660
11.0000,1.2600
11.5000,1.2530
12.0000,1.2480
12.5000,1.2440
13.0000,1.2400
13.5000,1.2360
14.0000,1.2330
14.5000,1.2290
15.0000,1.2260
15.5000,1.2230
16.0000,1.2210
16.5000,1.2190
17.0000,1.2180
17.5000,1.2160
18.0000,1.2140
18.5000,1.2130
19.0000,1.2120
19.5000,1.2110
20.0000,1.2100
20.5000,1.2090
21.0000,1.2080
21.5000,1.2070
22.0000,1.2060
22.5000,1.2060
23.0000,1.2050
23.5000,1.2050
24.0000,1.2040
24.5000,1.2040
25.0000,1.2030
25.5000,1.2030
26.0000,1.2030
26.5000,1.2030
27.0000,1.2020
27.5000,1.2020
28.0000,1.2020
28.5000,1.2020
29.0000,1.2020
29.5000,1.2010
30.0000,1.2010
30.5000,1.2010
31.0000,1.2010
31.5000,1.2010
32.0000,1.2010
32.5000,1.2010
33.0000,1.2010
33.5000,1.2010
34.0000,1.2010
34.5000,1.2010
35.0000,1.2000
35.5000,1.2000
36.0000,1.2000
36.5000,1.2000
37.0000,1.2000
37.5000,1.2000
38.0000,1.2000
38.5000,1.2000
39.0000,1.2000
39.5000,1.2000
40.0000,1.2000
40.5000,1.2000
41.0000,1.2000
41.5000,1.2000
42.0000,1.2000
42.5000,1.2000
43.0000,1.2000
43.5000,1.2000
44.0000,1.2000
44.5000,1.2000
45.0000,1.2000
45.5000,1.2000
46.0000,1.2000
46.5000,1.2000
47.0000,1.2000
47.5000,1.2000
48.0000,1.2000
48.5000,1.2000
49.0000,1.2000
49.5000,1.2000
50.0000,1.2000
50.5000,1.2000
51.0000,1.2000
51.5000,1.2000
52.0000,1.2000
52.5000,1.2000
53.0000,1.2000
53.5000,1.2000
54.0000,1.2000
54.5000,1.2000
55.0000,1.2000
55.5000,1.2000
56.0000,1.2000
56.5000,1.2000
57.0000,1.2000
57.5000,1.2000
58.0000,1.1990
58.5000,1.1990
59.0000,1.1990
59.5000,1.1990
60.0000,1.1990
60.5000,1.1990
61.0000,1.1990
61.5000,1.1990
62.0000,1.1990
62.5000,1.1990
63.0000,1.1990
63.5000,1.1990
64.0000,1.1990
64.5000,1.1990
65.0000,1.1990
65.5000,1.1990
66.0000,1.1990
66.5000,1.1990
67.0000,1.1980
67.5000,1.1980
68.0000,1.1980
68.5000,1.1980
69.0000,1.1980
69.5000,1.1980
70.0000,1.1980
70.5000,1.1980
71.0000,1.1980
71.5000,1.1980
72.0000,1.1980
