case,t,Tc_num,Tc_ana,Ts_num,Ts_ana,Cs_num,Cs_ana
E2a_dr1.00mm,100,28.01290456,28.01130387,34.09328336,34.10094075,2.29253009,2.25434699
E2a_dr1.00mm,300,29.33685230,29.33346683,37.62841234,37.62854358,2.07938854,2.06652248
E2a_dr1.00mm,600,33.37253843,33.37343381,40.64779882,40.64605718,1.90813940,1.90218448
E2a_dr1.00mm,900,37.04405156,37.04536149,42.77782418,42.77602072,1.79116931,1.78763430
E2a_dr1.00mm,1200,39.95081922,39.95179325,44.40538772,44.40383768,1.70028548,1.69800057
E2a_dr1.00mm,1500,42.21053412,42.21117053,45.66422782,45.66294156,1.62534856,1.62381963
E2a_dr1.00mm,1800,43.96268604,43.96307460,46.63960031,46.63854250,1.56134601,1.56031671
E2a_dr0.50mm,100,28.01170839,28.01130387,34.09904370,34.10094075,2.26170592,2.25434699
E2a_dr0.50mm,300,29.33431548,29.33346683,37.62851228,37.62854358,2.06943936,2.06652248
E2a_dr0.50mm,600,33.37320859,33.37343381,40.64649289,40.64605718,1.90362799,1.90218448
E2a_dr0.50mm,900,37.04503316,37.04536149,42.77647157,42.77602072,1.78851021,1.78763430
E2a_dr0.50mm,1200,39.95154916,39.95179325,44.40422509,44.40383768,1.69857545,1.69800057
E2a_dr0.50mm,1500,42.21101096,42.21117053,45.66326302,45.66294156,1.62420999,1.62381963
E2a_dr0.50mm,1800,43.96297707,43.96307460,46.63880685,46.63854250,1.56058404,1.56031671
E2a_dr0.25mm,100,28.01140532,28.01130387,34.10046755,34.10094075,2.25615115,2.25434699
E2a_dr0.25mm,300,29.33367916,29.33346683,37.62853585,37.62854358,2.06727899,2.06652248
E2a_dr0.25mm,600,33.37337741,33.37343381,40.64616613,40.64605718,1.90257049,1.90218448
E2a_dr0.25mm,900,37.04527935,37.04536149,42.77613343,42.77602072,1.78787497,1.78763430
E2a_dr0.25mm,1200,39.95173219,39.95179325,44.40393452,44.40383768,1.69816341,1.69800057
E2a_dr0.25mm,1500,42.21113061,42.21117053,45.66302192,45.66294156,1.62393440,1.62381963
E2a_dr0.25mm,1800,43.96305019,43.96307460,46.63860858,46.63854250,1.56039921,1.56031671
E2b_step,100,28.00000002,28.00000002,28.09807096,28.09755054,nan,nan
E2b_step,300,28.02536971,28.02513432,28.68992880,28.67314464,nan,nan
E2b_step,600,28.39015180,28.38910309,30.00942733,29.99837514,nan,nan
E2b_step,900,29.21974705,29.21799831,31.56921201,31.55964828,nan,nan
E2b_step,1200,30.41117413,30.40896767,33.24021505,33.22876291,nan,nan
E2b_step,1500,31.84442299,31.84187684,34.97156955,34.96650793,nan,nan
E2b_step,1800,33.41880255,33.41616136,36.60552962,36.59622438,nan,nan
