group,n_members,members
G0002,4,第一批提取后\2026数学建模国赛AI全自动自查表（标准版）.md || 第一批提取后\2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.md || 第一批提取后\2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.md || 第一批提取后\数学建模国赛AI论文检测与获奖预测万能提示词！\AI红线检测！2026数学建模国赛AI全自动自查表（标准版）.md
G0005,4,第一批提取后\数学建模国赛论文国奖级AI优化升级提示词.md || 第一批提取后\2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.md || 第一批提取后\2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛国奖级论文AI自动优化升级提示词.md || 第一批提取后\数学建模国赛AI全流程解题与论文写作提示词！\AI论文优化！数学建模国赛论文国奖级AI优化升级提示词.md
G0008,4,第一批提取后\数学建模论文图表AI国奖级美化提示词.md || 第一批提取后\2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.md || 第一批提取后\2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛超精美图表AI自动优化升级提示词.md || 第一批提取后\数学建模国赛AI全流程解题与论文写作提示词！\AI图表美化！数学建模论文图表AI国奖级美化提示词.md
G0003,3,第一批提取后\2026数学建模国赛AI全自动自查表（进阶版）.md || 第一批提取后\AI红线检测！2026数学建模国赛AI全自动自查表（进阶版）.md || 第一批提取后\数学建模国赛AI论文检测与获奖预测万能提示词！\AI红线检测！2026数学建模国赛AI全自动自查表（进阶版）.md
G0007,3,第一批提取后\数学建模论文全维度自查与获奖预测提示词！（标准版）.md || 第一批提取后\2026国赛各类AI实用工具和提示词汇总！\数学建模论文全维度自查与获奖预测提示词！（标准版）.md || 第一批提取后\数学建模国赛AI论文检测与获奖预测万能提示词！\AI论文检查与获奖预测！数学建模论文全维度自查与获奖预测提示词！（标准版）.md
G0001,2,第一批提取后\2026国赛零基础获奖速成课讲义.md || 第二批提取后\A157 2026数学建模国赛备战冲刺资料合集！\2026国赛零基础获奖速成课讲义.md
G0004,2,第一批提取后\AI论文痕迹自动检测与诊断提示词（V5.0版本）.md || 第一批提取后\数学建模国赛AI论文检测与获奖预测万能提示词！\AI痕迹检测！数学建模论文AI痕迹自动检测与诊断提示词.md
G0006,2,第一批提取后\数学建模论文AI全维度自查与奖项预测表（升级版V2.4·已修改）.md || 第一批提取后\数学建模国赛AI论文检测与获奖预测万能提示词！\AI论文检查与获奖预测！数学建模论文全维度自查与获奖预测提示词！（进阶版）.md
G0009,2,第一批提取后\最新版！2026数学建模国赛标准论文Word模板(1).md || 第一批提取后\最新版！2026数学建模国赛标准论文Word模板.md
G0010,2,第一批提取后\2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.md || 第一批提取后\数学建模国赛AI论文检测与获奖预测万能提示词！\AI模型检测！数学建模论文AI模型适配性检查提示词！.md
G0011,2,第二批提取后\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——遗传算法\基于 python 实现的遗传算法解决旅行商（TSP）问题\ga-tsp-main\README.md || 第二批\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——遗传算法\基于 python 实现的遗传算法解决旅行商（TSP）问题\ga-tsp-main\README.md
G0012,2,第二批提取后\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——神经网络算法\神经网络详细的预测内容\README.md || 第二批\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——神经网络算法\神经网络详细的预测内容\README.md
G0013,2,第二批提取后\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——神经网络算法\神经网络预测\README.md || 第二批\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——神经网络算法\神经网络预测\README.md
G0014,2,第二批提取后\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——Logistic模型\Logistic回归模型.md || 第二批提取后\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——Logistic模型\Logistic回归模型介绍.md
G0015,2,第二批提取后\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——Logistic模型\Logistic模型应用(1).md || 第二批提取后\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——Logistic模型\Logistic模型应用模板.md
G0016,2,第二批提取后\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——LSTM模型\时间序列预测（LSTM模型）python代码实现\chapter_15\README.md || 第二批\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——LSTM模型\时间序列预测（LSTM模型）python代码实现\chapter_15\README.md
G0017,2,第二批提取后\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——LSTM模型\时间序列预测（LSTM模型）python代码实现\chapter_15\README_eng.md || 第二批\2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——LSTM模型\时间序列预测（LSTM模型）python代码实现\chapter_15\README_eng.md
G0018,2,第二批提取后\数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——遗传算法\python遗传算法旅行商代码\README.md || 第二批\数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——遗传算法\python遗传算法旅行商代码\README.md
