relpath,area,ext,kind,size,nchars,enc,n_headings,title,hash,dup_group
第一批提取后\2026国赛零基础获奖速成课讲义.md,b1_ext,.md,md,129883,73405,utf-8,331,数学建模·国赛速成课,be7f4e3e9e43ed5971d4ff34bda81b99cd9abf62,G0001
第一批提取后\2026国赛！挑战3天零基础速成数学建模国赛国奖书籍！.md,b1_ext,.md,md,137590,57561,utf-8,224,学哥,3ad692324efd624bb250e0a8e64661c154bd7edb,
第一批提取后\2026国赛！挑战一小时速通数学建模国赛！_扫描版.md,b1_ext,.md,md,137622,57742,utf-8,228,数学建模国赛,dabccec6300defb89d23074f22e2bca8f71f4760,
第一批提取后\2026数学建模国赛10大小众高分算法!.md,b1_ext,.md,md,19063,7688,utf-8,26,2026 数学建模国赛十大小众高分算法合集,b32700bb71ef4f1ea482caccd6606b8a7a5b8913,
第一批提取后\2026数学建模国赛10大避坑算法!.md,b1_ext,.md,md,5005,2069,utf-8,15,2026 数学建模国赛10 大避坑算法,97e2c969a7978fba624032383062ea69bb377f76,
第一批提取后\2026数学建模国赛60个核心获奖要点！.md,b1_ext,.md,md,92294,37055,utf-8,266,D 丨 M E N S 丨0 N 01,306e178719d361a32241a2f2534be79623a9f5c1,
第一批提取后\2026数学建模国赛AI全自动自查表（标准版）.md,b1_ext,.md,md,8528,3824,utf-8,3,2026数学建模国赛AI全自动自查表,0a1e287422151563fcf27924e68cbe6038e857cc,G0002
第一批提取后\2026数学建模国赛AI全自动自查表（进阶版）.md,b1_ext,.md,md,14122,6166,utf-8,3,2026数学建模国赛AI全自动自查表,432c7480c0851869a0cee45a10538d94828ce3a9,G0003
第一批提取后\2026数学建模国赛三天极限速成要点全解析！.md,b1_ext,.md,md,135169,66320,utf-8,194,2026 数学建模国赛,9f9904f8619afeaeba009b084fe23bc768ad42cc,
第一批提取后\AI 工具使用详情.md,b1_ext,.md,md,6862,3146,utf-8,5,2026全国大学生数学建模竞赛,2494f1d05bd4b66d02990b2888d38504d1945de5,
第一批提取后\AI红线检测！2026数学建模国赛AI全自动自查表（进阶版）.md,b1_ext,.md,md,14122,6166,utf-8,3,2026数学建模国赛AI全自动自查表,432c7480c0851869a0cee45a10538d94828ce3a9,G0003
第一批提取后\AI论文痕迹自动检测与诊断提示词（V5.0版本）.md,b1_ext,.md,md,40405,18632,utf-8,45,AI 痕迹自动检测与深度诊断,aae9572a01432c5a89eed179b279c7e303e0827f,G0004
第一批提取后\必看！2026数学建模国赛获奖要点解析！.md,b1_ext,.md,md,221411,100053,utf-8,276,2026 数学建模国赛,f70cfd581e05de32f8449adb18efe03f668a1532,
第一批提取后\数学建模国赛60个核心获奖要点解析（简洁版）.md,b1_ext,.md,md,5357,2352,utf-8,0,> 说明：本文件由扫描件 OCR 生成，经形近字与结构修复；表格为按 OCR 行序重建，列划分可能有偏差，关键数字与公式请回查原件。,d9b102ee71d687e1ec1b95531e448e4c621544fc,
第一批提取后\数学建模国赛论文国奖级AI优化升级提示词.md,b1_ext,.md,md,57898,26731,utf-8,11,数学建模国赛论文,c270834af6b4264613db59909a96d47c7b3bcb07,G0005
第一批提取后\数学建模老哥Mrite软件安装和使用指南！.md,b1_ext,.md,md,3122,1362,utf-8,5,数学建模老哥,ccdb0d53db5d74536400de0b9c6b9af1164d6137,
第一批提取后\数学建模论文AI全维度自查与奖项预测表（升级版V2.4·已修改）.md,b1_ext,.md,md,71513,32289,utf-8,33,数学建模论文全维度自查,5ebec21bb6ba7355bda6daa079f397c690d3d6b6,G0006
第一批提取后\数学建模论文全维度自查与获奖预测提示词！（标准版）.md,b1_ext,.md,md,46187,19704,utf-8,16,数学建模论文全维度自查,df6fd7b5a13ffbb5267fc10b955bd866b1f74d83,G0007
