path,ext,size,md5,sha1,chars,note
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\数学建模AI提示词.pdf,.pdf,326445,42b842d934ff44a5fc9117a27ac1102c,437586fe87ac26f65ac2e88e9b360e9bbb8a1796,5679,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\17套！AI+数学建模提示词汇总！\AI+美赛！数学建模美赛：AI全流程解题教程.pdf,.pdf,87488546,dc58e274ff6efeef284259a7d1055f97,88452996ecf34fcf13d361a8ab49ed4e809e8aa5,1239,NO_TEXT_LAYER
2026国赛论文写作模版\2026国赛！挑战一小时速通数学建模国赛！_扫描版.pdf,.pdf,48666234,edad828056aad642774daf42ac5f16a3,da39a3ee5e6b4b0d3255bfef95601890afd80709,74,NO_TEXT_LAYER
2026数学建模核心资料\数学建模国赛零基础3天极限速成讲义！(1).pdf,.pdf,2399107,0dd8eae23d032cb1bfe2f7d015a69f63,a5939899b721c90a7b86cd4e8ffe1a19838813c5,16776,
2026数学建模核心资料\数学建模国赛零基础3天极限速成讲义！.pdf,.pdf,2399107,0dd8eae23d032cb1bfe2f7d015a69f63,a5939899b721c90a7b86cd4e8ffe1a19838813c5,16776,
2026数学建模核心资料\炫酷图表！数学建模竞赛50多种必备炫酷图表详细介绍+制作教程！_扫描版(1).pdf,.pdf,5481813,9ee845bd6319e00900cd7c58d3f7f2ba,da39a3ee5e6b4b0d3255bfef95601890afd80709,7,NO_TEXT_LAYER
2026数学建模核心资料\AI+数学建模提示词汇总！\数学建模AI提示词.pdf,.pdf,326445,42b842d934ff44a5fc9117a27ac1102c,437586fe87ac26f65ac2e88e9b360e9bbb8a1796,5679,
2026数学建模核心资料\国赛B题必备模型+代码资料合集\2025 年国赛B题分析及必备模型.pdf,.pdf,300967,9245f01c11628568cfeb1eb922e2ffc8,5bec6f1b241ef20efd99d796472cc5dc783b41d6,3200,
2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——0-1整数规划\0_1线性规划模型的MATLAB实现及应用.pdf,.pdf,184037,974c6f1b96e42b3a7c617245a8c6b283,c4aa17cbbddbf8d3df0b25fa33d1db7260f48358,5992,
2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——二次规划\使用python求解二次规划的问题.pdf,.pdf,128176,d3f117039d13f82e201a0ed63cabe277,2bd2c751c7d6689dd016a65a2608631e437860fb,1580,
2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——动态规划\动态规划笔记.pdf,.pdf,97201,49360722378d53c080ea5d686ab35a79,04bd0199a74bec5e77bf6f0d24a41c6ebc01b1d0,2766,
2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——单目标规划与多目标规划\单目标多目标与整数规划.pdf,.pdf,2037599,55b12d5fd809047a04347056d8e3065f,ce3db7841f37c60388c52867e7d29cfa184f3177,370322,
2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——单目标规划与多目标规划\基于TSP模型对旅行问题的多目标规划.pdf,.pdf,3673400,f72446e41a03a82bf1b52cfdb30fabe4,bcffc09aeea82d14c6aec618f34489f6cb2db4bf,20234,
2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——单目标规划与多目标规划\多目标规划-matlab程序.pdf,.pdf,1100151,3023c5ab779dc9fd0d3bb783d5a8568d,da39a3ee5e6b4b0d3255bfef95601890afd80709,7,NO_TEXT_LAYER
2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——单目标规划与多目标规划\多目标规划.pdf,.pdf,1615274,cf1fbb9c9c480ee44fef4ebda993aef1,4e7a5cc215eaee05747148445352007397608e03,17028,
2026数学建模核心资料\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——整数规划\3 老哥带你学数模-整数规划.pdf,.pdf,2768263,2fc81e85966e7fa416b372d8a07fb3b1,b1601cda37e7d8b11f589cf5ea7225bf7087a801,9759,
