# 体系 / 流程 / 规则 维度覆盖评估

检索 1027 个 Markdown

维度                     命中文件       出现次数  代表文件
建模标准流程                   50        226  必看！2026数学建模国赛获奖要点解析！.md
题型判断与选题                  84        442  必看！2026数学建模国赛获奖要点解析！.md
方法选型规则                  335       2737  老哥讲义！2026数学建模国赛冲奖要点全解析！.md
评分标准/评委视角               171       2561  必看！2026数学建模国赛获奖要点解析！.md
避坑与误区                   273       2763  必看！2026数学建模国赛获奖要点解析！.md
论文结构模板                  339       3211  必看！2026数学建模国赛获奖要点解析！.md
摘要与关键词                  358       3175  必看！2026数学建模国赛获奖要点解析！.md
模型假设规范                  332       3437  必看！2026数学建模国赛获奖要点解析！.md
灵敏度与检验套路                317       5512  必看！2026数学建模国赛获奖要点解析！.md
图表与排版规范                 338       4205  数学建模国赛论文国奖级AI优化升级提示词.md
AI 使用合规                 145       1518  AI论文痕迹自动检测与诊断提示词（V5.0版本）.md
创新点设计                   313       6981  【模型】基于改进的CRITIC和灰色关联模型评价模型研究【公众号：数学建模老哥】.md
结果分析套路                  545      11228  必看！2026数学建模国赛获奖要点解析！.md
