group,kind,keep,path,dup_with
CROSS,CROSS,b1,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\数学建模论文全维度自查与获奖预测提示词！（标准版）.docx,数学建模论文全维度自查与获奖预测提示词！（标准版）.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\国奖级AI升级+精美图表AI升级提示词！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\国奖级AI升级+精美图表AI升级提示词！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI全流程解题与论文写作提示词！\01_数学建模国赛【赛题分析】万能提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\01_数学建模国赛【赛题分析】万能提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI全流程解题与论文写作提示词！\02_数学建模国赛【数据预处理】万能提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\02_数学建模国赛【数据预处理】万能提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI全流程解题与论文写作提示词！\03_数学建模国赛【问题求解】万能提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\03_数学建模国赛【问题求解】万能提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI全流程解题与论文写作提示词！\04_数学建模国赛【模型检验】万能提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\04_数学建模国赛【模型检验】万能提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI全流程解题与论文写作提示词！\05_数学建模国赛【论文写作】万能提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\05_数学建模国赛【论文写作】万能提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI全流程解题与论文写作提示词！\06_数学建模国赛【图表美化】万能提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\06_数学建模国赛【图表美化】万能提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI全流程解题与论文写作提示词！\AI图表美化！数学建模论文图表AI国奖级美化提示词.docx,数学建模论文图表AI国奖级美化提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI全流程解题与论文写作提示词！\AI论文优化！数学建模国赛论文国奖级AI优化升级提示词.docx,数学建模国赛论文国奖级AI优化升级提示词.docx
