Datetime,USD/CNY
2021/1/4,6.5408
2021/1/5,6.476
2021/1/6,6.4604
2021/1/7,6.4608
2021/1/8,6.4708
2021/1/11,6.4764
2021/1/12,6.4823
2021/1/13,6.4605
2021/1/14,6.4746
2021/1/15,6.4633
2021/1/18,6.4845
2021/1/19,6.4883
2021/1/20,6.4836
2021/1/21,6.4696
2021/1/22,6.4617
2021/1/25,6.4819
2021/1/26,6.4847
2021/1/27,6.4665
2021/1/28,6.4845
2021/1/29,6.4709
2021/2/1,6.4623
2021/2/2,6.4736
2021/2/3,6.4669
2021/2/4,6.4605
2021/2/5,6.471
2021/2/8,6.4678
2021/2/9,6.4533
2021/2/10,6.4391
2021/2/18,6.4536
2021/2/19,6.4624
2021/2/22,6.4563
2021/2/23,6.4516
2021/2/24,6.4615
2021/2/25,6.4522
2021/2/26,6.4713
2021/3/1,6.4754
2021/3/2,6.4625
2021/3/3,6.4565
2021/3/4,6.4758
2021/3/5,6.4904
2021/3/8,6.4795
2021/3/9,6.5338
2021/3/10,6.5106
2021/3/11,6.497
2021/3/12,6.4845
2021/3/15,6.501
2021/3/16,6.5029
2021/3/17,6.4978
2021/3/18,6.4859
2021/3/19,6.5098
2021/3/22,6.5191
2021/3/23,6.5036
2021/3/24,6.5228
2021/3/25,6.5282
2021/3/26,6.5376
2021/3/29,6.5416
2021/3/30,6.5641
2021/3/31,6.5713
2021/4/1,6.5584
2021/4/2,6.5649
2021/4/6,6.5527
2021/4/7,6.5384
2021/4/8,6.5463
2021/4/9,6.5409
2021/4/12,6.5578
2021/4/13,6.5454
2021/4/14,6.5362
2021/4/15,6.5297
2021/4/16,6.5288
2021/4/19,6.5233
2021/4/20,6.5103
2021/4/21,6.5046
2021/4/22,6.4902
2021/4/23,6.4934
2021/4/26,6.4913
2021/4/27,6.4924
2021/4/28,6.4853
2021/4/29,6.4715
2021/4/30,6.4672
2021/5/6,6.4895
2021/5/7,6.4678
2021/5/10,6.4425
2021/5/11,6.4254
2021/5/12,6.4258
2021/5/13,6.4612
2021/5/14,6.4525
2021/5/17,6.4307
2021/5/18,6.4357
2021/5/19,6.4255
2021/5/20,6.4464
2021/5/21,6.43
2021/5/24,6.4408
2021/5/25,6.4283
2021/5/26,6.4099
2021/5/27,6.403
2021/5/28,6.3858
2021/5/31,6.3682
2021/6/1,6.3572
2021/6/2,6.3773
2021/6/3,6.3811
2021/6/4,6.4072
